Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
us,what are the symptoms of neuropathy,neuropathy symptoms,,,,,1000,49,0.00,0.00,25200000,Informational,"Video Carousel, Related Searches, Discussions And Forums, AI Overview, Video, Image, Adwords Top, Adwords Bottom","0.46,0.46,0.46,0.37,0.52,0.68,0.68,0.68,0.68,0.68,0.52,0.52",90,,
us,what are the 5 main symptoms of diabetic neuropathy,neuropathy symptoms,,,,,480,54,0.00,0.00,34500000,Informational,"Image Pack, Site Links, Video, Image, People Also Ask, Related Searches, AI Overview","0.59,0.72,0.59,0.59,0.59,0.59,0.72,0.72,0.48,0.01,0.21,0.04",20,,
us,what are symptoms of neuropathy,neuropathy symptoms,,,,,320,42,0.00,0.00,30600000,Informational,"Video Carousel, Related Searches, Discussions And Forums, AI Overview, Site Links, Image, Adwords Bottom","0.00,0.00,0.00,0.16,0.00,0.20,0.00,0.20,0.24,0.36,0.24,0.81",20,,
us,what are diabetic neuropathy symptoms,neuropathy symptoms,,,,,90,57,0.89,0.26,13200000,Informational,"Image, Video Carousel, Related Searches, Discussions And Forums, AI Overview, Site Links","0.41,0.52,0.41,0.52,0.52,0.82,0.64,0.52,0.52,0.52,0.82,0.23",20,,
us,which is a symptom of autonomic neuropathy,neuropathy symptoms,,,,,70,62,0.00,0.00,6800000,Informational,"Site Links, Video, Image, People Also Ask, Related Searches, AI Overview","0.01,0.06,0.08,0.05,0.04,0.03,0.04,0.02,0.01,0.05,0.06,0.03",20,,
us,what is neuropathy symptoms,neuropathy symptoms,,,,,50,45,0.00,0.00,38000000,Informational,"Video Carousel, People Also Ask, Related Searches, AI Overview, Video, Image","0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.06,0.16,0.16",90,,
us,what are some of the symptoms of neuropathy,neuropathy symptoms,,,,,40,0,0.23,0.39,25700000,Informational,"Discussions And Forums, AI Overview, Video, Image, Video Carousel, Related Searches","0.28,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14",,,
us,which is a symptom of autonomic neuropathy quizlet,neuropathy symptoms,,,,,40,20,0.00,0.33,8770,"Navigational, Transactional",Related Searches,"0.05,0.07,0.43,0.05,0.05,0.05,0.10,0.05,0.05,0.12,0.10,0.05",90,,
us,are cold feet a symptom of neuropathy,neuropathy symptoms,,,,,20,0,0.04,0.19,,,,"0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,,
us,can anxiety cause neuropathy like symptoms,neuropathy symptoms,,,,,20,0,0.00,0.08,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,,
us,can anxiety cause peripheral neuropathy symptoms,neuropathy symptoms,,,,,20,0,0.00,0.33,,,,"0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18",,,
us,can neuropathy symptoms come and go,neuropathy symptoms,,,,,20,0,0.00,0.03,,,,"0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18",,,
us,do neuropathy symptoms come and go,neuropathy symptoms,,,,,20,0,0.00,0.03,,,,"0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28",,,
us,is cold feet a symptom of neuropathy,neuropathy symptoms,,,,,20,0,0.04,0.14,,,,"0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66",,,
us,is itching a symptom of neuropathy,neuropathy symptoms,,,,,20,0,0.19,0.14,,,,"0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28",,,
us,is neuropathy a symptom of covid,neuropathy symptoms,,,,,20,0,0.00,0.33,,,,"0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66",,,
us,is neuropathy a symptom of parkinson disease,neuropathy symptoms,,,,,20,0,0.49,0.42,,,,"0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28",,,
us,is neuropathy a symptom of parkinson's disease,neuropathy symptoms,,,,,20,0,0.00,0.00,,,,"0.66,0.66,0.66,0.00,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.00",,,
us,is swelling a symptom of neuropathy,neuropathy symptoms,,,,,20,0,0.00,0.06,,,,"0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66",,,
us,what are 3 symptoms of neuropathy,neuropathy symptoms,,,,,20,0,0.00,0.19,,,,"0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.00,0.00,0.11,0.11",,,
us,what are some symptoms of neuropathy,neuropathy symptoms,,,,,20,0,0.93,0.37,,,,"0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18",,,
us,what are the symptoms of diabetic neuropathy in the hands,neuropathy symptoms,,,,,20,0,0.00,0.43,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,,
us,what are the symptoms of diabetic neuropathy in the legs,neuropathy symptoms,,,,,20,0,0.00,0.71,,,,"0.66,0.66,0.00,0.00,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66",,,
us,what are the symptoms of neuropathy in hands,neuropathy symptoms,,,,,20,0,0.00,0.17,,,,"0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22",,,
us,what are the symptoms of neuropathy in the hands,neuropathy symptoms,,,,,20,0,0.60,0.36,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,,
us,what are the symptoms of neuropathy in your feet,neuropathy symptoms,,,,,20,0,0.00,0.00,,,,"0.00,0.18,0.63,0.09,0.00,0.00,0.09,0.27,0.36,0.18,0.18,0.18",,,
us,what are the symptoms of peripheral neuropathy,neuropathy symptoms,,,,,20,0,0.00,0.00,,,,"0.00,0.02,0.01,0.00,0.02,0.00,0.00,0.01,0.00,0.00,0.00,0.06",,,
us,what is neuropathy a symptom of,neuropathy symptoms,,,,,20,0,0.00,0.10,,,,"0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28",,,
us,what's the symptoms of neuropathy,neuropathy symptoms,,,,,20,0,0.00,0.00,,,,"0.66,0.66,0.66,0.00,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.33",,,
us,which symptom would the nurse associate with autonomic neuropathy,neuropathy symptoms,,,,,20,0,0.00,0.33,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00",,,
us,can anxiety cause neuropathy symptoms,neuropathy symptoms,,,,,10,0,0.00,0.00,,,,"0.00,0.03,0.00,0.00,0.03,0.03,0.03,0.03,0.03,0.00,0.03,0.03",,,
us,can anxiety cause neuropathy-like symptoms,neuropathy symptoms,,,,,10,0,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00",,,
us,can stress cause neuropathy symptoms,neuropathy symptoms,,,,,10,0,0.00,0.00,,,,"0.00,0.27,0.00,0.00,0.00,0.00,0.09,0.18,0.09,0.18,0.09,0.18",,,
us,could lyme disease cause neuropathy symptoms,neuropathy symptoms,,,,,10,0,0.00,0.00,,,,"1.00,1.00,0.00,1.00,0.00",,,
us,how to manage neuropathy symptoms,neuropathy symptoms,,,,,10,0,0.00,0.00,,,,"1.00,0.00,1.00",,,
us,is neuropathy a symptom of lupus,neuropathy symptoms,,,,,10,0,0.00,0.00,,,,"0.00,0.00,0.03,0.07,0.00,0.03,0.03,0.00,0.00,0.00,0.07,0.00",,,
us,is neuropathy a symptom of menopause,neuropathy symptoms,,,,,10,0,0.00,0.13,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00",,,
us,is neuropathy a symptom of multiple myeloma,neuropathy symptoms,,,,,10,0,0.00,0.00,,,,"0.00,0.75,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.75,0.25,0.00",,,
us,is neuropathy a symptom of parkinson's,neuropathy symptoms,,,,,10,0,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.28,0.28,0.42,0.42",,,
us,what are neuropathy symptoms,neuropathy symptoms,,,,,10,0,0.00,0.00,,,,"0.00,0.03,0.00,0.00,0.03,0.03,0.00,0.07,0.00,0.00,0.00,0.03",,,
us,what are symptoms of neuropathy in the feet,neuropathy symptoms,,,,,10,0,0.00,0.00,,,,"0.00,0.00,0.09,0.00,0.00,0.00,0.09,0.09,0.09,0.00,0.18,0.09",,,
us,what are the symptoms of cranial neuropathy,neuropathy symptoms,,,,,10,0,0.00,0.00,,,,"0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.27,0.18,0.27,0.00,0.00",,,
us,what are the symptoms of diabetic neuropathy,neuropathy symptoms,,,,,10,0,0.00,0.00,,,,"0.00,0.00,0.09,0.00,0.00,0.27,0.00,0.18,0.09,0.00,0.00,0.00",,,
us,what is alcoholic neuropathy symptoms,neuropathy symptoms,,,,,10,0,0.00,0.00,,,,"0.00,0.00,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.00,0.33",,,
us,what is the symptoms of neuropathy,neuropathy symptoms,,,,,10,0,0.00,0.00,,,,"0.00,0.00,0.00,0.03,0.03,0.00,0.03,0.11,0.00,0.11,0.00,0.07",,,
