Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
us,is lower back pain a symptom of period,lower back pain symptoms,,,,,40,0,0.00,0.01,,,,"0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.00,0.18,0.18,1.00",,,
us,is lower back pain a symptom of the flu,lower back pain symptoms,,,,,40,12,0.00,0.03,83000000,Informational,"Site Links, Video, People Also Ask, Related Searches, Discussions And Forums, AI Overview","0.18,1.00,1.00,0.27,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18",20,,
us,is low back pain a symptom of uti,lower back pain symptoms,,,,,30,0,1.33,0.05,,,,"0.18,0.18,0.18,0.18,0.18,0.18,1.00,0.18,0.18,0.18,0.18,0.18",,,
us,is lower back pain a period symptom,lower back pain symptoms,,,,,30,0,0.00,0.00,,,,"0.26,0.15,0.19,0.00,0.00,0.15,0.00,0.15,0.03,0.07,0.11,0.26",,,
us,is lower back pain a symptom of urinary tract infection,lower back pain symptoms,,,,,30,0,1.33,0.05,,,,"0.18,0.18,0.18,0.18,0.18,0.18,1.00,0.18,0.18,0.18,0.18,0.18",,,
us,is lower back pain a symptom of uti,lower back pain symptoms,,,,,30,0,1.33,0.05,,,,"0.18,0.18,0.18,0.18,0.18,0.18,1.00,0.18,0.18,0.18,0.18,0.18",,,
us,can lower back pain be a symptom of covid,lower back pain symptoms,,,,,20,0,0.00,0.33,,,,"1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00",,,
us,can lower back pain be a symptom of early pregnancy,lower back pain symptoms,,,,,20,0,0.00,0.10,,,,"0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66",,,
us,can lower back pain be a symptom of menopause,lower back pain symptoms,,,,,20,0,0.00,0.29,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,,
us,can lower back pain be a symptom of perimenopause,lower back pain symptoms,,,,,20,0,0.00,0.20,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,,
us,can lower back pain be a symptom of something else,lower back pain symptoms,,,,,20,0,0.00,0.33,,,,"0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.00,0.40",,,
us,is low back pain a covid symptom,lower back pain symptoms,,,,,20,0,0.00,0.33,,,,"0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18",,,
us,is low back pain a symptom of covid 19,lower back pain symptoms,,,,,20,0,0.00,0.33,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,,
us,is lower back pain a premenstrual symptom,lower back pain symptoms,,,,,20,0,0.00,0.02,,,,"1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00",,,
us,is lower back pain a symptom of a heart attack,lower back pain symptoms,,,,,20,0,0.04,0.17,,,,"0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18",,,
us,is lower back pain a symptom of covid,lower back pain symptoms,,,,,20,0,0.00,0.00,,,,"0.09,0.06,0.00,0.04,0.02,0.00,0.00,0.01,0.00,0.06,0.00,0.00",,,
us,is lower back pain a symptom of covid 19,lower back pain symptoms,,,,,20,0,0.00,0.33,,,,"0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66",,,
us,is lower back pain a symptom of enlarged prostate,lower back pain symptoms,,,,,20,0,0.00,0.33,,,,"1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00",,,
