Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
us,what causes knee pain,knee pain causes,,,,,2400,40,0.00,0.00,526000000,Informational,"Discussions And Forums, AI Overview, Video, Image, Video Carousel, People Also Ask, Related Searches","0.43,0.36,0.65,0.65,0.65,0.65,0.65,0.81,0.36,0.65,0.54,0.65",90,,
us,what causes knee pain in females,knee pain causes,,,,,2400,31,0.95,0.16,911000000,Informational,"Discussions And Forums, AI Overview, Image Pack, Video, Image, Video Carousel, People Also Ask, Related Searches","0.52,0.66,0.52,1.00,0.52,0.66,0.80,0.66,0.80,0.80,0.80,0.80",90,,
us,can sciatica cause knee pain,knee pain causes,,,,,1900,14,0.00,0.00,28300000,Informational,"Site Links, Video, Image, People Also Ask, Related Searches, Discussions And Forums, AI Overview","0.55,0.55,0.55,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65",20,,
us,what causes pain behind the knee,knee pain causes,,,,,1600,32,0.45,0.22,816000000,Informational,"Image, Video Carousel, People Also Ask, Related Searches, AI Overview, Site Links, Video","0.84,0.68,0.68,0.84,1.00,0.84,0.84,0.68,0.84,0.84,1.00,0.84",20,,
us,can plantar fasciitis cause knee pain,knee pain causes,,,,,1300,10,0.00,0.00,13800000,Informational,"Video, Image, People Also Ask, Related Searches, Discussions And Forums, AI Overview","0.45,0.45,0.62,0.62,0.81,1.00,1.00,0.81,0.81,0.81,1.00,0.81",90,,
us,what can cause knee pain without injury,knee pain causes,,,,,1300,28,0.00,0.00,381000000,Informational,"Related Searches, AI Overview, Site Links, Video, Image, People Also Ask","0.68,0.68,0.68,0.84,1.00,0.84,0.68,0.68,0.68,0.68,0.68,0.84",20,,
us,what causes pain on the knee,knee pain causes,,,,,1300,32,0.35,0.35,539000000,Informational,"AI Overview, Video, Image, Video Carousel, People Also Ask, Related Searches, Discussions And Forums","0.29,0.04,0.65,0.81,0.03,0.04,0.10,0.00,0.20,0.54,0.43,0.03",90,,
us,what causes pain in the back of the knee,knee pain causes,,,,,1000,29,0.00,0.00,1040000000,Informational,"Video, Image, AI Overview, Site Links, Adwords Bottom, Video Carousel, People Also Ask, Related Searches, Discussions And Forums","0.81,0.62,0.62,1.00,0.62,0.62,0.55,0.62,0.62,0.81,1.00,0.16",20,,
us,what causes sudden knee pain without injury,knee pain causes,,,,,1000,14,0.00,0.00,49100000,Informational,"Video, Image, Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Image Pack","0.62,0.62,0.62,0.62,0.62,0.62,0.55,0.81,0.81,0.62,0.55,0.10",90,,
us,does sciatica cause knee pain,knee pain causes,,,,,880,17,0.00,0.00,29400000,Informational,"Site Links, Video, Image, People Also Ask, Related Searches, Discussions And Forums, AI Overview","0.36,0.36,0.30,0.36,0.36,0.36,0.36,0.36,0.36,0.30,0.36,0.30",20,,
us,what causes pain behind knee after total knee replacement,knee pain causes,,,,,720,16,1.19,0.04,58100000,Informational,"Site Links, Video, Image, People Also Ask, Related Searches, Discussions And Forums, AI Overview","0.68,0.52,0.46,0.52,0.37,0.31,0.25,0.20,0.31,0.31,0.31,0.37",20,,
us,can knee pain cause hip pain,knee pain causes,,,,,480,13,0.00,0.00,386000000,Informational,"Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Site Links, Video, Image","0.44,0.44,0.44,0.44,0.44,0.54,0.44,0.67,0.67,0.54,0.54,0.54",20,,
us,can hip pain cause knee pain,knee pain causes,,,,,390,13,0.00,0.00,363000000,Informational,"Video, Image, Related Searches, Discussions And Forums, AI Overview","0.32,0.26,0.26,0.39,0.32,0.26,0.32,0.26,0.32,0.32,0.32,0.26",90,,
us,can tight hamstrings cause knee pain,knee pain causes,,,,,390,16,0.00,0.00,7130000,Informational,"Related Searches, Discussions And Forums, AI Overview, Site Links, Video, Image, People Also Ask","0.54,0.66,0.66,1.00,0.81,0.81,0.81,0.81,0.81,0.66,0.66,0.81",20,,
us,do sciatica cause knee pain,knee pain causes,,,,,390,19,0.42,0.04,7510000,Informational,"Image, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Site Links, Video","0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.36,0.79,0.79,1.00",20,,
us,can flat feet cause knee pain,knee pain causes,,,,,260,25,0.00,0.00,63000000,"Informational, Commercial","Featured Snippet, Image, People Also Ask, Related Searches, Discussions And Forums, Site Links, Video","0.53,0.66,0.66,0.66,0.82,0.66,0.66,0.66,0.53,0.53,0.66,0.43",20,,
us,what can cause ankle and knee pain without injury,knee pain causes,,,,,260,12,0.50,0.08,110000000,Informational,"Discussions And Forums, AI Overview, Image Pack, Site Links, Video, Image, People Also Ask, Related Searches","0.66,0.53,0.43,0.66,0.53,0.43,0.53,0.53,0.53,0.82,1.00,1.00",20,,
us,what causes pain behind knee,knee pain causes,,,,,260,0,0.58,0.18,793000000,Informational,"Video, Image, Video Carousel, People Also Ask, Related Searches, AI Overview, Site Links","0.67,0.44,0.23,0.19,0.23,0.19,0.67,0.67,0.07,0.04,0.12,0.05",,,
us,can back pain cause knee pain,knee pain causes,,,,,210,23,0.00,0.00,934000000,Informational,"Site Links, Video, Image, People Also Ask, Related Searches, Discussions And Forums, AI Overview","1.00,0.35,0.35,0.54,0.54,0.43,0.54,0.43,0.43,0.43,0.35,0.35",20,,
us,can knee pain be caused by back,knee pain causes,,,,,210,24,1.76,0.02,56600000,Informational,"Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Site Links, Video, Image","0.43,0.29,0.35,0.22,0.29,0.66,0.66,0.29,0.29,0.54,0.54,0.54",20,,
us,can knee pain cause back pain,knee pain causes,,,,,210,22,0.00,0.00,743000000,Informational,"Video, Image, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Site Links","0.53,0.53,0.53,0.43,0.81,0.81,0.81,1.00,0.81,0.06,0.65,0.43",20,,
us,can sciatic nerve cause knee pain,knee pain causes,,,,,210,4,0.00,0.00,5310000,Informational,"AI Overview, Site Links, Video, Image, Related Searches, Discussions And Forums","0.13,0.16,0.13,0.10,0.00,0.03,0.16,0.16,0.20,0.16,0.20,0.20",20,,
us,does plantar fasciitis cause knee pain,knee pain causes,,,,,210,4,0.00,0.00,9950000,Informational,"AI Overview, Video, Image, People Also Ask, Related Searches, Discussions And Forums","0.19,0.23,0.54,1.00,0.03,0.07,0.15,0.19,0.15,0.12,0.05,0.12",90,,
us,what causes pain on inner side of knee,knee pain causes,,,,,210,0,0.31,0.23,527000000,Informational,"Discussions And Forums, AI Overview, Site Links, Video, Image, Video Carousel, People Also Ask, Related Searches","0.80,1.00,0.65,0.65,0.80,0.80,0.80,0.65,1.00,1.00,1.00,1.00",,,
us,what causes pain on inside of knee,knee pain causes,,,,,210,29,0.31,0.23,302000000,Informational,"AI Overview, Image Pack, Site Links, Video, Image, Video Carousel, People Also Ask, Related Searches","0.53,0.65,0.53,1.00,0.80,0.80,0.65,0.65,1.00,0.65,0.80,0.80",20,,
us,what could cause pain behind the knee,knee pain causes,,,,,210,11,0.32,0.21,940000000,Informational,"Image Pack, Site Links, Image, Video Carousel, Discussions And Forums, Video, People Also Ask, Related Searches, AI Overview","0.23,0.18,0.28,0.44,0.28,0.35,0.23,0.28,0.35,0.35,0.44,0.35",20,,
us,can shin splints cause knee pain,knee pain causes,,,,,170,3,0.00,0.00,4080000,Informational,"Video, Image, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Image Pack","0.66,0.82,0.00,0.82,0.17,0.82,0.28,0.17,0.05,0.82,0.17,0.05",90,,
us,can tight calves cause knee pain,knee pain causes,,,,,170,8,0.00,0.00,2010000,Informational,"Site Links, Video, Image, Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview","0.53,0.53,0.07,0.80,1.00,0.65,0.53,0.65,0.65,0.80,0.80,0.53",20,,
us,what can cause a knee pain,knee pain causes,,,,,170,26,0.65,0.33,873000000,Informational,"Related Searches, Discussions And Forums, AI Overview, Image Pack, Site Links, Video, Image, People Also Ask","0.00,0.00,0.35,0.00,0.29,0.00,0.66,0.29,0.29,0.54,1.00,0.81",20,,
us,what causes pain on the outside of the knee,knee pain causes,,,,,170,27,0.28,0.19,526000000,Informational,"Site Links, Video, Image, Adwords Middle, AI Overview, Video Carousel, People Also Ask, Related Searches, Image Pack","0.19,0.23,0.19,0.23,0.19,0.23,0.19,0.29,0.23,0.23,0.23,0.29",20,,
us,what would cause pain behind the knee,knee pain causes,,,,,170,23,0.32,0.21,869000000,Informational,"Video, Image, Video Carousel, People Also Ask, Related Searches, AI Overview, Image Pack, Site Links","0.65,0.65,0.80,0.65,0.65,0.80,0.53,1.00,0.53,0.80,0.80,0.80",20,,
us,can back problems cause knee pain,knee pain causes,,,,,140,11,0.00,0.00,659000000,Informational,"Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Site Links, Video, Image","1.00,0.17,0.17,0.23,0.23,0.23,0.35,0.35,0.28,0.23,0.10,0.28",20,,
us,can bunions cause knee pain,knee pain causes,,,,,140,4,0.00,0.00,1620000,Informational,"Site Links, Video, Image, Related Searches, Discussions And Forums, AI Overview","0.42,0.66,0.52,1.00,0.80,0.66,0.66,0.80,0.66,0.66,0.52,0.52",20,,
us,can knee pain cause calf pain,knee pain causes,,,,,140,9,0.00,0.00,120000000,Informational,"Image, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Site Links, Video","0.52,0.66,0.52,0.66,0.66,0.66,0.80,0.80,1.00,0.66,0.52,0.66",20,,
us,can tight hips cause knee pain,knee pain causes,,,,,140,16,0.00,0.00,50100000,Informational,"Discussions And Forums, AI Overview, Site Links, Video, Image, Video Carousel, People Also Ask, Related Searches","0.28,0.28,0.28,0.35,0.43,0.35,0.43,0.35,0.35,0.28,0.35,0.28",20,,
us,can varicose veins cause knee pain,knee pain causes,,,,,140,4,0.00,0.00,9650000,Informational,"Video, Image, People Also Ask, Related Searches, Discussions And Forums, AI Overview","0.28,0.34,0.03,0.43,0.03,0.12,0.65,0.81,0.81,0.53,0.81,0.81",90,,
us,what cause knee pain,knee pain causes,,,,,140,32,0.00,0.00,837000000,Informational,"Image, Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Site Links, Video","0.02,0.03,0.01,0.05,0.13,0.08,0.02,0.24,0.06,0.20,0.20,0.16",20,,
us,what causes knee to swell and be painful,knee pain causes,,,,,140,30,0.95,0.46,3000000,Informational,"Discussions And Forums, AI Overview, Site Links, Video, Image, Adwords Bottom, Video Carousel, Related Searches","0.66,0.52,0.33,0.52,0.66,0.42,0.66,0.66,0.66,0.42,1.00,1.00",20,,
us,what causes pain and swelling in the knee,knee pain causes,,,,,140,33,0.67,0.37,85600000,Informational,"Image Pack, Video, Video Carousel, Discussions And Forums, Site Links, Image, People Also Ask, Related Searches, AI Overview","0.42,0.34,0.42,0.53,0.65,0.53,0.53,0.53,0.65,0.53,0.80,1.00",20,,
us,what causes pain behind knees,knee pain causes,,,,,140,26,0.58,0.18,157000000,Informational,"Video Carousel, Related Searches, Discussions And Forums, AI Overview, Site Links, Image","0.28,0.21,0.28,0.34,0.34,0.53,0.28,0.28,1.00,0.81,0.81,0.53",20,,
us,what causes pain on the inside of the knee,knee pain causes,,,,,140,27,0.31,0.23,546000000,Informational,"People Also Ask, Related Searches, AI Overview, Image Pack, Site Links, Video, Image, Video Carousel","0.34,0.53,0.53,0.65,0.53,0.15,0.34,0.80,0.42,0.42,0.53,0.53",20,,
