Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
us,spinal stenosis,,,,,,165000,76,0.00,0.00,15900000,Informational,"Related Searches, AI Overview, Image Pack, Video, Image, Video Carousel, People Also Ask","0.81,1.00,0.81,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.81",75,,
us,piriformis syndrome,,,,,,135000,74,0.00,0.00,2300000,Informational,"AI Overview, Image Pack, Site Links, Video, Image, Video Carousel, People Also Ask, Related Searches","0.36,1.00,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.36,0.36,0.36",20,,
us,muscle relaxers,,,,,,110000,68,0.63,0.92,2660000,Informational,"Things To Know, AI Overview, Image Pack, Site Links, Video, Image, People Also Ask, Related Searches","1.00,1.00,0.82,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.82",20,,
us,stenosis,,,,,,74000,91,0.00,0.00,16200000,Informational,"Image Pack, Video, Image, People Also Ask, Related Searches, Things To Know, AI Overview, Knowledge Panel","0.67,0.67,0.67,0.82,0.82,0.67,0.67,0.67,0.55,0.55,0.82,0.67",70,,
us,cervicogenic headache,,,,,,33100,55,0.00,0.00,725000,Informational,"Image Pack, Video, Image, Video Carousel, People Also Ask, Things To Know, Discussions And Forums, Related Searches, AI Overview","0.54,0.66,0.54,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66",75,,
us,epidural epidural,,,,,,27100,71,0.74,0.01,10200000,Informational,"Video, Video Carousel, People Also Ask, Things To Know, AI Overview, Knowledge Panel, Site Links, Image, Related Searches","0.00,0.00,0.66,1.00,0.66,0.29,0.24,0.00,0.01,0.29,0.13,0.29",20,,
us,upper back pain,,,,,,33100,50,0.00,0.00,1060000000,Informational,"Image Pack, Video, Featured Snippet, Image, Video Carousel, Related Searches, Discussions And Forums","0.66,0.66,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.44,0.44,0.44",80,,
us,herniated disc treatment,,,,,,22200,55,0.00,0.00,6820000,Informational,"Image Pack, Video, Image, Video Carousel, Related Searches, People Also Ask, Things To Know, Discussions And Forums, AI Overview","0.54,0.67,0.54,0.54,0.54,0.54,0.54,0.67,0.67,0.67,0.67,0.67",90,,
us,back ache upper,,,,,,14800,45,0.75,0.15,80500000,Informational,"Related Searches, Discussions And Forums, Site Links, Video, Featured Snippet, Image, People Also Ask","0.02,0.00,0.81,0.81,1.00,0.54,0.36,0.00,0.03,0.44,0.67,0.81",20,,
us,cause of lbp,,,,,,18100,46,0.40,0.24,121000000,Informational,"Image, Video Carousel, People Also Ask, Related Searches, AI Overview, Image Pack, Video","0.02,0.00,1.00,0.66,1.00,0.44,0.36,0.00,0.03,0.00,0.54,0.66",90,,
