Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
us,knee pain causes,knee pain causes,,,,,6600,54,0.00,0.00,800000000,Informational,"People Also Ask, Related Searches, AI Overview, Image Pack, Site Links, Video, Image","0.36,0.44,0.36,0.44,0.36,0.36,0.36,0.36,0.29,0.29,0.36,0.24",20,,
us,what causes knee pain,knee pain causes,,,,,2400,40,0.00,0.00,526000000,Informational,"Video, Image, Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview","0.43,0.36,0.65,0.65,0.65,0.65,0.65,0.81,0.36,0.65,0.54,0.65",90,,
us,what causes knee pain in females,knee pain causes,,,,,2400,31,0.95,0.16,911000000,Informational,"Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Image Pack, Video, Image","0.52,0.66,0.52,1.00,0.52,0.66,0.80,0.66,0.80,0.80,0.80,0.80",90,,
us,can sciatica cause knee pain,knee pain causes,,,,,1900,14,0.00,0.00,28300000,Informational,"Image, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Site Links, Video","0.55,0.55,0.55,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65",20,,
us,what causes pain behind the knee,knee pain causes,,,,,1600,32,0.45,0.22,816000000,Informational,"People Also Ask, Related Searches, AI Overview, Site Links, Video, Image, Video Carousel","0.84,0.68,0.68,0.84,1.00,0.84,0.84,0.68,0.84,0.84,1.00,0.84",20,,
us,can plantar fasciitis cause knee pain,knee pain causes,,,,,1300,10,0.00,0.00,13800000,Informational,"Video, Image, People Also Ask, Related Searches, Discussions And Forums, AI Overview","0.45,0.45,0.62,0.62,0.81,1.00,1.00,0.81,0.81,0.81,1.00,0.81",90,,
us,causes of knee pain,knee pain causes,,,,,1300,45,0.00,0.00,538000000,Informational,"Image, Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Image Pack, Video","0.08,0.07,0.07,0.13,0.16,0.16,0.16,0.16,0.13,0.13,0.16,0.16",90,,
us,sciatica can cause knee pain,knee pain causes,,,,,1300,10,0.42,0.05,27900000,Informational,"Video, Image, People Also Ask, Related Searches, AI Overview, Image Pack, Site Links","0.44,0.07,0.65,0.82,1.00,0.65,0.82,0.00,0.00,0.00,0.00,0.82",20,,
us,what can cause knee pain without injury,knee pain causes,,,,,1300,28,0.00,0.00,381000000,Informational,"Site Links, Video, Image, People Also Ask, Related Searches, AI Overview","0.68,0.68,0.68,0.84,1.00,0.84,0.68,0.68,0.68,0.68,0.68,0.84",20,,
us,what causes pain on the knee,knee pain causes,,,,,1300,32,0.35,0.35,539000000,Informational,"Video, Image, Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview","0.29,0.04,0.65,0.81,0.03,0.04,0.10,0.00,0.20,0.54,0.43,0.03",90,,
