Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
us,lower back pain symptoms,lower back pain symptoms,,,,,6600,74,0.00,0.00,340000000,Informational,"AI Overview, Image Pack, Site Links, Video, Image, People Also Ask, Related Searches, Discussions And Forums","0.66,0.66,0.54,0.66,0.54,0.66,0.54,0.66,0.54,0.54,0.29,0.10",20,,
us,lower back pain herniated disk symptoms,lower back pain symptoms,,,,,4400,50,0.63,0.14,2100000,Informational,"AI Overview, Video, Image, Video Carousel, People Also Ask, Related Searches, Discussions And Forums","0.23,0.03,0.66,1.00,0.81,0.35,0.54,0.00,0.08,0.81,0.81,0.54",90,,
us,low back pain symptoms,lower back pain symptoms,,,,,480,71,0.00,0.00,372000000,Informational,"Video, Image, Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Image Pack","0.07,0.16,0.66,0.07,0.01,0.03,0.27,0.03,0.04,0.01,0.01,0.00",90,,
us,pain lower back symptoms,lower back pain symptoms,,,,,320,66,0.41,0.08,366000000,Informational,"AI Overview, Image Pack, Video, Image, People Also Ask, Related Searches, See Results About, Discussions And Forums","1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",90,,
us,lower back pain early pregnancy symptom,lower back pain symptoms,,,,,260,38,0.00,0.00,342000000,Informational,"Video, Image, Related Searches, Discussions And Forums, AI Overview, Image Pack, Site Links","0.00,0.00,0.00,0.00,1.00,1.00,0.88,0.00,0.00,0.00,0.04,0.00",20,,
us,cancer lower back pain symptoms,lower back pain symptoms,,,,,210,50,1.85,0.08,361000000,Informational,"Site Links, Video, Image, Related Searches, Discussions And Forums, AI Overview","0.43,0.43,0.43,0.12,0.35,0.82,1.00,0.35,0.28,0.66,0.53,0.66",20,,
us,hip labral tear symptoms lower back pain,lower back pain symptoms,,,,,110,26,0.00,0.00,1170000,Informational,"Video, Image, Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Site Links","0.14,0.21,0.14,0.11,0.14,0.14,0.14,0.11,0.09,0.07,0.07,0.14",20,,
us,lower back pain cancer symptoms,lower back pain symptoms,,,,,110,42,0.00,0.00,360000000,Informational,"Related Searches, Discussions And Forums, AI Overview, Site Links, Video, Image, Adwords Bottom","0.22,0.43,0.35,0.29,0.43,0.43,0.35,0.22,0.02,0.02,0.00,0.00",20,,
us,lower back pain symptom of uti,lower back pain symptoms,,,,,110,17,1.47,0.14,458000,Informational,"People Also Ask, Related Searches, Discussions And Forums, AI Overview, Site Links, Video, Image","0.52,0.42,0.52,0.19,0.42,0.66,0.80,0.66,0.52,0.52,0.80,1.00",20,,
us,symptoms of lower back pain,lower back pain symptoms,,,,,110,67,0.00,0.00,361000000,Informational,"People Also Ask, Related Searches, Discussions And Forums, AI Overview, Video, Image, Video Carousel","0.07,0.07,0.05,0.01,0.00,0.03,0.00,0.01,0.00,0.04,0.05,0.04",90,,
