Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
us,pinched nerve vs pulled muscle,nerve vs muscle,,,,,720,0,1.17,0.02,5000000,Commercial,"Video, Image, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Image Pack","0.88,0.72,0.72,0.72,0.72,0.72,0.59,0.59,0.88,0.59,0.39,0.48",,,
us,muscle strain vs pinched nerve,nerve vs muscle,,,,,320,0,0.52,0.05,12300000,Commercial,"Video, Image, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Image Pack","0.29,0.23,0.81,0.36,0.10,0.29,0.29,0.67,0.67,0.23,0.10,0.07",,,
us,pulled muscle vs pinched nerve,nerve vs muscle,,,,,170,0,0.52,0.05,13400000,"Informational, Commercial","Image Pack, Video, Image, People Also Ask, Related Searches, Discussions And Forums, AI Overview","0.53,0.02,0.53,0.66,0.53,0.43,0.53,0.35,0.43,0.35,0.43,0.35",,,
us,pinched nerve vs muscle strain,nerve vs muscle,,,,,110,0,1.17,0.02,10400000,Commercial,"Related Searches, Discussions And Forums, AI Overview, Video, Image","0.54,0.15,0.01,0.28,0.01,0.66,0.00,0.03,0.03,0.01,0.35,0.23",,,
us,nerve pain vs muscle pain,nerve vs muscle,,,,,90,13,0.00,0.00,125000000,Commercial,"Related Searches, Discussions And Forums, Video, Featured Snippet, Image, People Also Ask","0.06,0.09,0.09,0.05,0.15,0.12,0.09,0.12,0.06,0.01,0.02,0.01",80,,
us,how to tell pinched nerve vs pulled muscle,nerve vs muscle,,,,,40,0,0.00,0.04,,,,"0.00,0.00,0.00,0.00,0.14,1.00,0.64,0.78,0.14,0.14,0.14,0.14",,,
us,muscle pain vs nerve pain,nerve vs muscle,,,,,30,0,0.00,0.00,,,,"0.00,0.03,0.09,0.09,0.09,0.15,0.12,0.12,0.12,0.03,0.03,0.03",,,
us,muscle spasm vs pinched nerve,nerve vs muscle,,,,,30,0,0.00,0.00,,,,"0.77,0.77,0.77,0.44,0.00,0.00,0.00,0.00,0.11,0.00,0.77,0.00",,,
us,nerve vs muscle pain,nerve vs muscle,,,,,30,0,0.00,0.00,,,,"0.00,0.06,0.03,0.09,0.06,0.15,0.15,0.21,0.09,0.12,0.00,0.03",,,
us,pinched nerve in neck vs pulled muscle,nerve vs muscle,,,,,30,0,0.00,0.03,,,,"1.00,0.75,0.75,0.50,0.50,0.75,0.50,0.75,0.50,0.50,0.50,0.50",,,
us,direct muscle stimulation vs nerve stimulation,nerve vs muscle,,,,,20,0,0.00,0.00,,,,"0.18,0.18,0.18,0.18,0.18,0.18,0.00,0.18,0.18,0.18,0.00,0.00",,,
us,muscle knot vs pinched nerve,nerve vs muscle,,,,,20,0,0.00,0.01,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,,
us,muscle pain vs nerve,nerve vs muscle,,,,,20,0,0.00,0.05,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,,
