Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
us,neuropathy symptoms,neuropathy symptoms,,,,,40500,48,0.00,0.00,26000000,Informational,"Image Pack, Video, Image, People Also Ask, Related Searches, AI Overview","0.81,1.00,0.81,0.81,0.81,0.81,0.81,1.00,0.81,0.81,0.81,0.81",75,,
us,peripheral neuropathy symptoms,neuropathy symptoms,,,,,33100,81,0.00,0.00,25200000,Informational,"AI Overview, Video, Image, Adwords Top, Video Carousel, People Also Ask, Related Searches, Discussions And Forums","1.00,1.00,1.00,1.00,1.00,1.00,0.81,0.81,0.81,0.66,0.44,0.24",90,,
us,diabetic neuropathy symptoms,neuropathy symptoms,,,,,8100,76,0.85,0.21,25600000,Informational,"Site Links, Video, Image, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Image Pack","0.66,0.81,0.66,0.81,0.81,0.81,0.81,0.81,0.66,0.44,0.36,0.29",20,,
us,p neuropathy symptoms,neuropathy symptoms,,,,,5400,71,0.53,0.18,19500000,Informational,"Image, Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview","0.03,0.00,0.00,0.00,0.00,1.00,0.66,0.00,0.07,0.81,0.81,0.29",90,,
us,symptoms of neuropathy,neuropathy symptoms,,,,,4400,61,0.00,0.00,25500000,Informational,"Site Links, Adwords Bottom, Video Carousel, AI Overview, Video, Image, People Also Ask, Related Searches, Image Pack","0.36,0.29,0.29,0.36,0.44,0.44,0.36,0.44,0.36,0.36,0.36,0.36",20,,
us,neuropathy in the foot symptoms,neuropathy symptoms,,,,,3600,35,0.29,0.31,25100000,Informational,"Video, Image, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Site Links","0.53,0.53,0.53,0.66,0.53,0.53,0.66,0.66,0.53,0.53,1.00,0.81",20,,
us,small fiber neuropathy symptoms,neuropathy symptoms,,,,,3600,24,0.00,0.00,12100000,Informational,"Video Carousel, Discussions And Forums, Image, Adwords Bottom, People Also Ask, Related Searches, Adwords Middle, AI Overview, Image Pack, Video","0.54,0.81,0.65,0.81,0.81,0.65,0.81,0.81,0.81,1.00,1.00,0.81",90,,
us,small fibre peripheral neuropathy symptoms,neuropathy symptoms,,,,,1900,50,0.62,0.06,638000,Informational,"Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Image Pack, Video, Image","0.65,0.82,0.82,0.82,1.00,0.82,1.00,0.01,0.30,0.55,0.82,1.00",90,,
us,alcoholic neuropathy symptoms,neuropathy symptoms,,,,,1300,45,0.00,0.00,299000000,Informational,"People Also Ask, AI Overview","0.54,0.54,1.00,0.54,0.54,0.41,0.41,0.54,0.41,0.41,0.41,0.41",90,,
us,neuropathy in feet symptoms,neuropathy symptoms,,,,,1000,64,0.00,0.00,25200000,Informational,"Image, Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Image Pack, Video","0.02,0.02,0.03,0.04,0.04,0.07,0.44,0.35,0.44,0.35,0.18,0.18",90,,
