Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
us,how to describe pain to doctor,online pain assessment,,,,,90,9,0.00,0.01,581000000,Informational,"People Also Ask, Related Searches, Discussions And Forums, AI Overview, Image Pack, Video, Image, Video Carousel","0.66,0.33,0.52,0.52,0.42,0.42,0.42,0.33,0.52,0.42,0.42,0.33",90,,
us,pain symptom checker,online pain assessment,,,,,70,55,0.00,0.00,92600000,Informational,"Adwords Bottom, People Also Ask, Related Searches, AI Overview","0.02,0.03,0.02,0.04,0.04,0.03,0.02,0.03,0.04,0.03,0.04,0.03",90,,
us,what type of doctor for knee pain,online pain assessment,,,,,50,8,0.00,0.00,757000000,Informational,"Related Searches, Discussions And Forums, AI Overview, Video, Image, People Also Ask","0.00,0.00,0.41,0.00,0.41,0.64,0.11,0.29,0.41,0.11,0.64,0.05",90,,
us,what type of doctor for back pain,online pain assessment,,,,,40,21,0.00,0.00,1140000000,Informational,"Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Image","0.00,0.03,0.03,0.03,0.00,0.03,0.03,0.26,0.42,0.42,0.34,0.26",90,,
us,first pain management appointment,online pain assessment,,,,,20,0,0.00,0.06,,,,"0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66",,,
us,what type of doctor for nerve pain,online pain assessment,,,,,10,0,0.00,0.00,,,,"0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.18,0.09",,,
us,is my back pain serious,online pain assessment,,,,,0,0,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00",,,
us,pain red flags,online pain assessment,,,,,0,0,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
us,questions to ask pain doctor,online pain assessment,,,,,0,0,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
us,what type of doctor for neck pain,online pain assessment,,,,,0,0,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00",,,
us,when to see doctor for pain,online pain assessment,,,,,0,0,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
us,online pain assessment,online pain assessment,,,,,,,,,,,,,,,
us,AI pain assessment,online pain assessment,,,,,,,,,,,,,,,
us,pain checker online,online pain assessment,,,,,,,,,,,,,,,
us,what to expect at pain clinic,online pain assessment,,,,,,,,,,,,,,,
us,what to bring to pain clinic,online pain assessment,,,,,,,,,,,,,,,
