Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
us,piriformis syndrome vs sciatica,sciatica vs,,,,,1600,10,0.00,0.00,2220000,"Informational, Commercial","Image Pack, Video, Image, Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview","0.24,0.44,0.36,0.52,0.52,0.36,0.36,0.36,0.36,1.00,0.44,0.20",90,,
us,sciatic vs piriformis,sciatica vs,,,,,590,15,1.39,0.02,2260000,Commercial,"Video, Image, Video Carousel, Related Searches, Discussions And Forums, AI Overview","0.01,0.01,0.02,0.04,0.84,1.00,0.16,0.02,0.37,0.05,1.00,0.84",90,,
us,sciatica vs piriformis syndrome,sciatica vs,,,,,590,15,0.00,0.00,2330000,"Informational, Commercial","AI Overview, Site Links, Video, Image, Video Carousel, People Also Ask, Related Searches, Image Pack, Discussions And Forums","0.13,0.20,0.25,0.31,0.25,0.31,0.25,0.13,0.13,0.13,0.16,1.00",20,,
us,piriformis vs sciatica,sciatica vs,,,,,480,15,0.00,0.00,2290000,"Informational, Commercial","Image Pack, Video, Image, Video Carousel, People Also Ask, AI Overview, Site Links, Related Searches, Discussions And Forums","0.20,0.24,0.20,0.20,0.24,0.24,0.24,0.24,0.20,1.00,0.20,0.13",20,,
us,lumbar radiculopathy vs sciatica,sciatica vs,,,,,390,22,0.00,0.00,2320000,"Informational, Commercial","Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Image Pack, Video, Image","0.48,0.59,0.59,0.48,0.02,0.72,0.07,0.32,0.17,0.72,0.88,0.21",90,,
us,lumbosacral radiculopathy vs sciatica,sciatica vs,,,,,390,29,1.60,0.01,2360000,"Informational, Commercial","Discussions And Forums, AI Overview, Image Pack, Video, Image, People Also Ask, Related Searches","1.00,0.19,0.67,0.44,0.23,0.29,0.36,0.44,0.54,0.44,0.15,0.23",90,,
us,sciatic vs piriformis syndrome,sciatica vs,,,,,320,14,0.74,0.03,1660000,Informational,"Image Pack, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Site Links, Video, Image, Video Carousel","0.00,0.00,1.00,0.00,0.84,0.01,0.01,0.01,0.01,0.01,0.00,0.00",20,,
us,sciatica vs herniated disc,sciatica vs,,,,,320,4,0.00,0.00,5710000,Commercial,"AI Overview, Video, Image, Video Carousel, People Also Ask, Related Searches, Discussions And Forums","0.66,0.81,0.54,0.44,0.44,0.44,0.54,0.54,0.54,0.66,0.66,0.54",90,,
us,sciatica vs piriformis,sciatica vs,,,,,320,13,0.00,0.00,2280000,"Informational, Commercial","Image Pack, Site Links, Video, Image, Related Searches, Discussions And Forums, AI Overview","0.66,0.44,0.35,0.44,0.44,0.44,0.44,0.81,0.81,0.81,0.81,0.35",20,,
us,herniated disc vs sciatica,sciatica vs,,,,,260,1,0.00,0.00,6130000,"Informational, Commercial","Video, Image, Video Carousel, People Also Ask, Related Searches, Discussions And Forums","0.81,1.00,0.81,0.81,1.00,0.81,0.81,1.00,0.81,0.81,0.81,1.00",90,,
us,si joint pain vs sciatica,sciatica vs,,,,,260,10,0.00,0.00,2870000,Informational,"Discussions And Forums, AI Overview, Image Pack, Video, Image, Video Carousel, People Also Ask, Related Searches","0.53,0.43,0.53,0.43,0.66,0.82,0.53,0.53,0.82,0.82,0.82,1.00",90,,
