Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
us,qc kinetix,,,,,,27100,26,0.00,0.00,1600000,Navigational,"Local Pack, Site Links, Video, People Also Ask, Related Searches, AI Overview, Knowledge Panel","0.44,0.54,0.54,0.54,0.44,0.44,0.36,0.36,0.36,0.36,0.44,0.36",20,,
us,clearway pain solutions,,,,,,9900,37,0.00,0.00,414000,Navigational,"Site Links, Video, Related Searches, Local Pack","0.81,1.00,0.81,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",20,,
us,mountain view pain center,,,,,,6600,27,0.00,0.00,85100000,"Navigational, Transactional","Image, Related Searches, Knowledge Panel, Local Pack, Site Links, Video","0.66,0.19,0.66,0.54,0.81,0.81,0.54,0.81,0.23,0.81,0.54,0.44",20,,
us,pain management dr,,,,,,3600,49,2.94,0.35,1100000000,Commercial,"Local Pack, Video, Image, People Also Ask, Related Searches","0.81,0.53,1.00,0.35,0.66,0.29,0.81,0.53,0.66,0.81,1.00,0.53",90,,
us,national spine,,,,,,3600,62,0.00,0.00,176000000,Navigational,"Site Links, Video, Adwords Bottom, People Also Ask, Related Searches, Local Pack","0.00,0.66,0.54,0.00,0.00,0.44,0.29,0.66,0.81,0.29,0.81,0.35",20,,
us,commonwealth pain and spine,,,,,,3600,34,0.00,0.00,1580000,Navigational,"Local Pack, Site Links, Video, Image, Related Searches","0.66,0.03,0.66,0.07,0.19,0.54,0.07,0.10,0.08,0.23,0.44,0.44",20,,
us,synovation medical group,,,,,,2400,36,0.00,0.01,10400,Navigational,"Local Pack, Site Links, Image, Related Searches","0.43,0.65,0.65,0.65,0.54,0.54,0.54,0.54,0.54,0.43,0.43,0.43",20,,
us,knee pain centers of america,,,,,,2400,8,1.68,0.63,9160000,Commercial,"Local Pack, Video, Image, People Also Ask, Related Searches","0.82,0.82,0.65,0.82,1.00,1.00,1.00,1.00,1.00,1.00,0.82,0.82",90,,
us,limitless male medical clinic,,,,,,2400,38,3.79,0.37,635000,Navigational,"Related Searches, Local Pack, Site Links, Video, Image, People Also Ask","0.80,0.52,0.80,0.80,0.52,0.27,0.66,0.66,0.52,0.44,1.00,0.52",20,,
us,ny spine and wellness,,,,,,2400,29,3.20,0.06,17700000,Navigational,"Related Searches, Local Pack, Site Links, Video","0.65,0.82,0.65,0.82,0.65,0.65,0.65,0.82,1.00,0.65,0.82,0.65",20,,
us,ortho sport and spine,,,,,,2400,20,2.93,0.11,5680000,Navigational,"Local Pack, Site Links, Video, People Also Ask, Related Searches","0.82,1.00,1.00,1.00,0.82,0.82,0.82,0.82,0.65,0.82,0.65,0.65",20,,
us,physician partners of america,,,,,,2400,36,3.29,0.08,98100000,Navigational,"Local Pack, Site Links, Video, People Also Ask, Related Searches","0.52,0.66,0.80,0.52,0.52,0.52,0.52,0.66,1.00,0.80,0.80,0.66",20,,
us,twin cities pain clinic,,,,,,2400,34,0.00,0.00,2460000,Navigational,"Local Pack, Site Links, Video, Image, People Also Ask, Related Searches","0.36,0.22,0.22,0.43,0.65,0.81,0.81,0.22,0.81,0.81,0.54,0.65",20,,
us,sweetwater pain and spine,,,,,,1900,22,2.58,0.15,71400,Navigational,"Local Pack, Site Links, Image, Related Searches","0.84,1.00,1.00,1.00,1.00,0.84,1.00,0.68,1.00,1.00,1.00,0.68",20,,
us,pain mgt near me,,,,,,1900,36,2.64,0.53,1090000000,Transactional,"Related Searches, Local Pack, Image","0.13,0.16,0.35,0.44,0.44,0.35,0.35,0.44,0.44,0.35,0.29,0.24",90,,
us,ispine clinics,,,,,,1900,34,0.88,0.09,24800,Navigational,"Site Links, Image, Related Searches, Local Pack","0.44,0.27,0.36,0.44,0.36,0.36,0.44,0.36,0.66,0.52,1.00,0.66",20,,
us,bitterroot health,,,,,,1600,32,0.79,0.11,768000,Navigational,"Site Links, Video, Image, Related Searches, See Results About","0.84,1.00,1.00,1.00,0.84,0.84,0.84,0.84,0.84,0.84,1.00,0.84",20,,
us,nebraska pain institute,,,,,,1000,25,0.00,0.00,11900000,Navigational,"Knowledge Panel, Site Links, Video, Image, People Also Ask, Related Searches","0.00,0.12,0.12,0.12,0.01,0.05,0.08,0.05,0.02,0.19,0.54,1.00",20,,
us,wake spine and pain,,,,,,1600,10,0.77,0.14,38100000,Navigational,"Video, Related Searches","0.66,1.00,0.79,0.79,0.54,0.41,0.54,0.79,0.54,0.41,0.66,0.66",90,,
us,tricity pain associates,,,,,,1300,39,1.99,0.14,209000,Navigational,"Local Pack, Site Links, Related Searches","0.55,0.36,0.55,0.81,0.62,0.81,0.62,0.81,0.81,1.00,1.00,1.00",20,,
us,arkansas spine and pain,,,,,,1300,16,1.90,0.04,3300000,Navigational,"Local Pack, Site Links, Video, Image, Related Searches","0.62,0.81,0.81,0.62,0.81,0.81,0.81,0.81,0.81,1.00,1.00,0.81",20,,
us,new york spine wellness,,,,,,1300,30,3.20,0.06,7060000,"Navigational, Commercial","Knowledge Panel, Site Links, Video, People Also Ask, Related Searches","0.65,0.82,0.82,0.82,1.00,0.82,0.13,0.04,0.30,0.03,0.05,0.04",20,,
us,cnos dakota dunes sd,,,,,,1300,24,3.03,0.03,6310,"Navigational, Transactional","People Also Ask, Related Searches, Knowledge Panel, Image Pack, Image","0.66,0.79,0.79,0.36,0.54,0.36,0.54,0.20,0.20,0.41,0.30,0.66",70,,
us,johnston pain management,,,,,,1300,35,2.26,0.04,19400000,Navigational,"Related Searches, Local Pack, Site Links, Image","0.81,1.00,0.81,0.81,0.81,0.81,0.81,1.00,0.81,1.00,0.81,0.81",20,,
us,summit spine and joint centers,,,,,,1300,24,0.00,0.00,2150000,Navigational,"Site Links, Video, Image, Adwords Bottom, Related Searches, Local Pack","0.00,0.00,0.00,1.00,0.66,0.00,0.00,0.36,0.00,0.43,0.00,0.24",20,,
us,tuttleman center,,,,,,1300,33,0.00,0.06,20800,"Informational, Transactional","Related Searches, Knowledge Panel, Video, Image, People Also Ask","0.37,0.52,0.52,0.68,0.68,0.52,0.52,0.68,1.00,1.00,0.84,0.52",70,,
us,sweetwater pain and spine center reno nv,,,,,,1300,25,2.58,0.15,34700,Navigational,"Related Searches, Local Pack, Site Links, Image","0.41,0.07,0.79,0.66,0.66,0.54,1.00,0.03,0.30,0.79,0.54,0.66",20,,
us,nh neurospine,,,,,,1000,36,2.75,0.01,71600,"Navigational, Commercial","Local Pack, Site Links, Video, Image, Related Searches","0.55,1.00,0.76,1.00,1.00,0.67,0.67,1.00,0.76,0.67,0.67,0.67",20,,
us,neuro pain consultants,,,,,,1000,24,0.00,0.00,5080000,Navigational,"Video, Image, People Also Ask, Related Searches, Local Pack, Site Links","0.00,0.62,0.62,0.62,0.01,0.62,1.00,0.62,1.00,0.81,0.81,0.62",20,,
us,innovative pain and spine,,,,,,1000,29,0.00,0.00,15700000,Navigational,"Image, Related Searches, Local Pack, Site Links, Video","0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.81,0.62,0.81,0.81,0.81",20,,
us,pain treatment near me,,,,,,1000,44,2.86,0.33,1170000000,Transactional,"Site Links, Video, Image, Related Searches, Local Pack","0.02,0.03,0.04,0.08,0.07,0.03,0.04,0.66,1.00,0.52,0.80,0.08",20,,
us,rejuvinix,,,,,,1000,43,4.32,0.23,2170,Navigational,"Local Pack, Site Links, Video, Image, People Also Ask, Related Searches","0.68,1.00,0.46,0.20,0.52,0.46,0.68,0.68,0.46,0.25,0.37,0.46",20,,
us,southern pain and spine,,,,,,1000,31,0.00,0.00,16700000,Navigational,"Local Pack, Site Links, Video, Image, Related Searches","0.36,0.55,0.81,0.62,0.62,0.62,0.62,0.62,0.62,0.62,1.00,0.55",20,,
us,universal pain management,,,,,,1000,20,2.13,0.05,109000000,Commercial,"Related Searches, Local Pack, Video, Image, People Also Ask","0.36,0.55,0.62,0.62,0.62,0.55,0.81,0.81,1.00,0.62,0.62,0.62",90,,
us,peninsula pain clinic,,,,,,1000,7,0.00,0.00,2560000,Commercial,"Local Pack, Video, Image, People Also Ask, Related Searches","0.36,0.55,0.55,1.00,0.55,0.55,0.55,0.62,0.62,0.81,0.62,0.62",90,,
us,nh neurospine institute,,,,,,1000,0,2.75,0.01,42500,Navigational,"Local Pack, Site Links, Video, Image, People Also Ask, Related Searches","0.30,0.55,0.30,1.00,1.00,0.55,0.62,0.36,0.62,0.81,0.55,0.45",,,
us,pacific sports and spine,,,,,,1000,33,0.00,0.00,6880000,Navigational,"Knowledge Panel, Site Links, Video, Image, Related Searches","0.08,0.01,1.00,0.65,0.65,0.00,0.04,0.65,0.11,0.65,0.00,0.11",20,,
us,pause pain and wellness,,,,,,1000,15,2.75,0.04,26300000,Navigational,"Local Pack, Site Links, Video, People Also Ask, Related Searches","0.45,0.81,0.81,0.62,0.62,0.55,0.55,0.62,0.55,0.55,0.55,0.45",20,,
us,central california pain management,,,,,,1000,21,0.00,0.01,102000000,Navigational,"Video, Image, People Also Ask, Related Searches, Local Pack, Site Links","0.46,0.31,0.46,0.46,0.46,0.37,0.52,0.52,0.68,0.52,1.00,0.68",20,,
us,bone and joint bismarck,,,,,,1000,68,2.13,0.04,368000,Navigational,"Image, Related Searches, Knowledge Panel, Site Links, Video","0.41,0.41,0.36,0.36,0.36,0.41,0.41,0.41,0.36,0.54,0.41,0.36",20,,
us,excela square latrobe,,,,,,1000,15,2.58,0.05,11200,"Informational, Transactional","Knowledge Panel, Video, People Also Ask, Related Searches","0.30,0.44,0.44,0.30,0.34,0.44,0.34,0.30,0.34,0.44,0.44,0.44",70,,
us,sepa pain,,,,,,880,24,1.86,0.13,18500000,Navigational,"Video, People Also Ask, Related Searches, Local Pack","0.25,0.68,0.37,0.68,0.68,0.52,0.37,0.46,0.46,0.52,0.52,0.31",75,,
us,sweetwater pain,,,,,,880,34,2.58,0.15,1300000,Navigational,"Local Pack, Site Links, Video, Image, Related Searches","0.37,0.37,0.37,0.46,0.37,0.46,0.37,1.00,0.46,0.46,0.37,0.25",20,,
us,nevada pain care,,,,,,880,0,0.49,0.06,194000000,Navigational,"Knowledge Panel, Site Links, Image, Related Searches","0.59,0.72,0.72,1.00,1.00,0.88,0.88,0.72,1.00,1.00,0.72,0.88",,,
us,velazquez pain relief center,,,,,,880,34,1.97,0.15,470000,"Navigational, Commercial","Local Pack, Site Links, Video, Image, Related Searches","0.88,0.59,0.88,1.00,1.00,1.00,0.88,0.72,0.88,0.72,1.00,1.00",20,,
us,integrated pain associates,,,,,,880,41,0.00,0.00,17500000,"Navigational, Commercial","Local Pack, Site Links, Video, Image, People Also Ask, Related Searches","0.45,0.55,0.55,1.00,0.81,0.55,0.45,0.55,0.45,0.45,0.45,0.08",20,,
us,carolina pain institute,,,,,,880,35,0.57,0.15,45400000,"Navigational, Commercial","Local Pack, Site Links, Image, Related Searches","0.55,0.67,0.67,0.67,0.55,0.67,0.76,0.67,0.67,0.76,0.76,0.67",20,,
us,advanced pain care amarillo,,,,,,880,34,0.00,0.00,1080000,"Navigational, Transactional","Site Links, Video, Image, Adwords Top, People Also Ask, Related Searches, Local Pack","0.72,1.00,0.88,0.88,0.72,0.59,0.59,1.00,0.88,1.00,1.00,0.88",20,,
us,midsouth pain treatment center,,,,,,880,38,0.00,0.00,116000,Navigational,"Knowledge Panel, Local Pack, Site Links, Image, Related Searches","0.62,0.55,0.45,0.62,0.45,0.55,0.55,0.45,0.55,0.55,0.45,0.36",20,,
us,jawad bhatti md,,,,,,880,22,0.00,0.01,245000,Commercial,"Local Pack, Image, Related Searches","0.01,0.00,0.00,0.00,0.00,0.01,0.00,1.00,0.00,0.01,0.01,0.00",90,,
us,visual analog,,,,,,880,35,0.00,0.01,110000000,Informational,"Video Carousel, People Also Ask, Related Searches, AI Overview, Image Pack, Site Links, Video, Image","0.04,0.08,0.13,0.16,0.22,0.20,0.16,0.22,0.65,0.20,0.10,0.08",20,,
us,synovation,,,,,,590,32,0.00,0.01,16000,"Navigational, Commercial","Knowledge Panel, Local Pack, Site Links, Video, Image, People Also Ask, Related Searches","0.05,0.10,0.03,0.01,0.04,0.36,0.41,0.04,0.41,1.00,0.41,0.79",20,,
us,crystal coast pain management,,,,,,880,28,3.39,0.04,4020000,Navigational,"Site Links, Video, People Also Ask, Related Searches, Local Pack","0.55,0.76,1.00,1.00,0.76,0.67,0.76,0.67,0.45,0.67,0.67,0.55",20,,
us,puget sound pain clinic,,,,,,880,22,0.00,0.00,308000,Commercial,"Local Pack, Image, People Also Ask, Related Searches","0.16,0.20,0.16,0.20,0.20,0.16,0.16,0.20,0.16,0.16,1.00,0.16",90,,
us,3 cooper plaza,,,,,,720,10,1.29,0.05,42100000,Informational,"Image Pack, Video, Image, People Also Ask, Related Searches","0.24,0.30,0.20,0.24,0.24,0.24,0.20,0.24,0.24,0.24,0.20,0.16",90,,
us,carolinas center for advanced management of pain,,,,,,720,19,2.79,0.06,307000,Commercial,"Local Pack, Video, Related Searches","0.81,0.81,1.00,0.81,0.81,0.81,0.67,0.67,1.00,1.00,1.00,0.67",90,,
us,la pain doctor,,,,,,720,30,1.35,0.05,1040000000,Navigational,"Local Pack, Site Links, Video, Image, People Also Ask, Related Searches","0.67,0.81,0.67,0.67,1.00,0.67,0.81,0.67,0.81,0.81,1.00,1.00",20,,
us,annapolis pain management,,,,,,720,25,2.38,0.12,1140000,Navigational,"Image, People Also Ask, Related Searches, Knowledge Panel, Site Links, Video","1.00,0.81,1.00,1.00,1.00,0.81,1.00,1.00,1.00,1.00,1.00,0.81",20,,
us,kansas spine specialty hospital,,,,,,720,37,2.17,0.07,1470000,Navigational,"People Also Ask, Related Searches, Knowledge Panel, Site Links, Image","0.72,0.59,0.88,0.88,0.88,1.00,0.88,0.72,0.88,0.72,0.72,0.72",20,,
