priority,type,query_or_url,action,impressions,expected_impact
high,meta,https://painclinics.com/ergonomic-adjustments-for-knee-pain/,"Improve meta for underperforming page — 29,384 impressions, 0.4% CTR, position 25.7",29384,Higher CTR from existing impressions
high,redirect,https://painclinics.com/?clinics=center-for-symptom-relief-llc,"Redirect legacy /?clinics=center-for-symptom-relief-llc to canonical URL — 20,009 impressions",20009,Consolidate ranking signals to canonical URL
high,meta,https://painclinics.com/visual-analog-scale/,"Improve meta for underperforming page — 17,140 impressions, 0.2% CTR, position 32.4",17140,Higher CTR from existing impressions
high,meta,https://painclinics.com/pain-management/jawad-bhatti-md-va-23225/,"Improve meta for underperforming page — 16,142 impressions, 1.8% CTR, position 8.2",16142,Higher CTR from existing impressions
high,redirect,https://painclinics.com/?clinics=comprehensive-pain-and-rehab-of-northwest-arkansas,"Redirect legacy /?clinics=comprehensive-pain-and-rehab-of-northwest-arkansas to canonical URL — 14,260 impressions",14260,Consolidate ranking signals to canonical URL
high,redirect,https://painclinics.com/?clinics=csar-pllc-dr-oliver-c-james-md,"Redirect legacy /?clinics=csar-pllc-dr-oliver-c-james-md to canonical URL — 14,139 impressions",14139,Consolidate ranking signals to canonical URL
high,meta,https://painclinics.com/pain-management/the-pain-management-group-clarksville-tn-37043/,"Improve meta for underperforming page — 13,659 impressions, 0.6% CTR, position 11.8",13659,Higher CTR from existing impressions
high,meta,https://painclinics.com/pain-management/relief-spine-pain-center-al-35968/,"Improve meta for underperforming page — 12,416 impressions, 0.3% CTR, position 9.3",12416,Higher CTR from existing impressions
high,redirect,https://painclinics.com/?clinics=access-pain-solutions-tulsa-pain-management-doctor,"Redirect legacy /?clinics=access-pain-solutions-tulsa-pain-management-doctor to canonical URL — 11,988 impressions",11988,Consolidate ranking signals to canonical URL
high,meta,https://painclinics.com/?clinics=access-pain-solutions-tulsa-pain-management-doctor,"Improve meta for underperforming page — 11,988 impressions, 0.6% CTR, position 25.8",11988,Higher CTR from existing impressions
high,meta,https://painclinics.com/pain-management/national-spine-pain-centers-winchester-va-22601/,"Improve meta for underperforming page — 10,311 impressions, 0.3% CTR, position 17.1",10311,Higher CTR from existing impressions
high,meta,https://painclinics.com/pain-management/peninsula-pain-clinic-silverdale-a-sound-pain-alliance-member-wa-98383/,"Improve meta for underperforming page — 9,856 impressions, 0.3% CTR, position 14.7",9856,Higher CTR from existing impressions
high,content,jawad bhatti md,"Optimize content for this city-state query — position 8.2, 9800 impressions",9800,Move from page 1-2 to top 3
high,meta,https://painclinics.com/pain-management/ms-pain-migraine-alan-k-cole-md-ms-39402/,"Improve meta for underperforming page — 9,783 impressions, 0.4% CTR, position 11.5",9783,Higher CTR from existing impressions
high,meta,https://painclinics.com/pain-management/the-center-for-pain-dothan-al-36303/,"Improve meta for underperforming page — 9,771 impressions, 0.5% CTR, position 31.6",9771,Higher CTR from existing impressions
high,redirect,https://painclinics.com/?clinics=pain-and-spine-specialists-of-pennsylvania-pleasant-hills,"Redirect legacy /?clinics=pain-and-spine-specialists-of-pennsylvania-pleasant-hills to canonical URL — 9,654 impressions",9654,Consolidate ranking signals to canonical URL
high,meta,https://painclinics.com/?clinics=pain-and-spine-specialists-of-pennsylvania-pleasant-hills,"Improve meta for underperforming page — 9,654 impressions, 0.2% CTR, position 13.6",9654,Higher CTR from existing impressions
high,redirect,https://painclinics.com/?clinics=cottonwood-medical-clinic,"Redirect legacy /?clinics=cottonwood-medical-clinic to canonical URL — 9,423 impressions",9423,Consolidate ranking signals to canonical URL
high,meta,https://painclinics.com/?clinics=cottonwood-medical-clinic,"Improve meta for underperforming page — 9,423 impressions, 1.1% CTR, position 32.6",9423,Higher CTR from existing impressions
high,redirect,https://painclinics.com/?clinics=laurel-pain-clinic,"Redirect legacy /?clinics=laurel-pain-clinic to canonical URL — 9,417 impressions",9417,Consolidate ranking signals to canonical URL
