Page,Clicks,Impressions,CTR,Position,PageType
https://painclinics.com/?clinics=center-for-symptom-relief-llc,981,20009,4.9,12.84,clinic-old-url
https://painclinics.com/pain-management/csar-pllc-dr-oliver-c-james-md-ky-40509/,861,10167,8.47,4.28,clinic
https://painclinics.com/?clinics=csar-pllc-dr-oliver-c-james-md,652,14139,4.61,13.71,clinic-old-url
https://painclinics.com/pain-management/pca-pain-care-center-ct-6492/,482,4444,10.85,5.28,clinic
https://painclinics.com/?clinics=comprehensive-pain-and-rehab-of-northwest-arkansas,451,14260,3.16,14.28,clinic-old-url
https://painclinics.com/pain-management/open-arms-pain-clinic-co-80909/,440,8505,5.17,10.33,clinic
https://www.painclinics.com/pain-management/csar-pllc-dr-oliver-c-james-md-ky-40509,383,4659,8.22,4.92,clinic
https://painclinics.com/pain-management/optimal-pain-and-wellness-dr-regina-thurman-dr-mary-frances-daut-dr-ornette-gaines-ar-72703/,347,6180,5.61,6.15,clinic
https://painclinics.com/pain-management/mid-america-pain-clinic-ks-66210/,300,6699,4.48,16.73,clinic
https://painclinics.com/pain-management/jawad-bhatti-md-va-23225/,292,16142,1.81,8.18,clinic
https://painclinics.com/pain-management/spine-pain-associates-tn-37660/,279,12189,2.29,12.71,clinic
https://painclinics.com/pain-management/oregon-pain-spine-specialists-or-97401/,247,6728,3.67,21.15,clinic
https://painclinics.com/pain-management/spine-pain-associates-tn-37620/,246,9606,2.56,10.43,clinic
https://www.painclinics.com/pain-management/pca-pain-care-center-ct-6492,241,2758,8.74,5.13,clinic
https://www.painclinics.com/pain-management/mid-america-pain-clinic-ks-66210,207,2714,7.63,14.67,clinic
https://painclinics.com/pain-management/kaloko-pain-center-hi-96740/,194,6404,3.03,7.23,clinic
https://painclinics.com/pain-management/pain-clinic-of-northwest-florida-fl-32405/,190,6203,3.06,14.68,clinic
https://painclinics.com/pain-management/tennessee-pain-professionals-tn-37917/,189,2616,7.22,18.38,clinic
