Query,Clicks,Impressions,CTR,Position,Cluster,PosBucket
center for symptom relief,279,1492,18.7,4.02,clinic-name,4-10
pain management near me,277,21110,1.31,20.11,near-me,21+
open arms pain clinic,268,4581,5.85,6.0,clinic-name,4-10
mid america pain clinic,229,2817,8.13,5.07,clinic-name,4-10
dr oliver james,131,2174,6.03,5.03,clinic-name,4-10
optimal pain and wellness,126,2652,4.75,5.89,clinic-name,4-10
tennessee pain professionals,126,1533,8.22,4.88,city-state,4-10
csar lexington ky,123,1195,10.29,2.12,city-state,1-3
spine and pain associates,122,4593,2.66,6.45,clinic-name,4-10
ic pain solutions,117,663,17.65,3.76,generic,4-10
optimal pain and wellness bentonville,112,920,12.17,2.66,clinic-name,1-3
kaloko pain center,108,3040,3.55,3.71,clinic-name,4-10
pca pain care center,106,777,13.64,4.16,clinic-name,4-10
pain clinic of northwest florida,103,779,13.22,3.25,city-state,4-10
spine and pain associates kingsport,93,1576,5.9,2.23,clinic-name,1-3
csar pain management,86,899,9.57,2.56,generic,1-3
pain clinics near me,85,3584,2.37,15.46,near-me,11-20
royal pain center,83,1815,4.57,4.49,clinic-name,4-10
oregon pain and spine specialists,80,1234,6.48,3.21,city-state,4-10
nevada pain and wellness center,79,448,17.63,2.83,city-state,1-3
pain clinic near me,78,9059,0.86,17.22,near-me,11-20
pain management,76,11602,0.66,34.37,generic,21+
trucare pain management,76,1094,6.95,2.46,clinic-name,1-3
comprehensive pain and headache treatment center,76,443,17.16,4.88,condition,4-10
"ic pain solutions, pc",74,374,19.79,1.75,generic,1-3
pain management doctors near me,69,5262,1.31,29.36,near-me,21+
oliver james md,63,1123,5.61,4.53,city-state,4-10
riverwoods spine and pain,61,673,9.06,3.15,generic,4-10
texas pain clinic,60,2532,2.37,14.38,city-state,11-20
dr. oliver james,58,828,7.0,4.54,clinic-name,4-10
dr oliver james lexington ky,56,841,6.66,3.45,city-state,4-10
perimeter pain and primary,55,584,9.42,2.52,generic,1-3
pain management doctors near me that prescribe narcotics,54,634,8.52,10.48,near-me,11-20
dr. jawad bhatti,52,853,6.1,7.25,clinic-name,4-10
csra pain management,49,640,7.66,4.57,generic,4-10
kentucky pain associates,49,563,8.7,5.34,city-state,4-10
oregon pain and spine,48,886,5.42,3.41,city-state,4-10
fremont pain treatment center,48,806,5.96,4.47,clinic-name,4-10
jawad bhatti md,47,9800,0.48,8.17,city-state,4-10
jawad bhatti,47,1258,3.74,8.84,generic,4-10
