Query,Clicks,Impressions,CTR,Position,Cluster
jawad bhatti md,47,9800,0.48,8.17,city-state
laurel pain clinic,20,6483,0.31,11.13,clinic-name
rockford pain center,11,6430,0.17,9.38,clinic-name
clearway pain solutions,10,6346,0.16,8.43,generic
knee pain centers of america,46,5775,0.8,8.15,condition
sweetwater pain and spine,10,5027,0.2,5.84,generic
dominion spine and pain,14,4869,0.29,4.88,generic
commonwealth pain and spine,11,4674,0.24,7.3,generic
spine and pain associates,122,4593,2.66,6.45,clinic-name
open arms pain clinic,268,4581,5.85,6.0,clinic-name
access pain solutions,24,3601,0.67,9.98,generic
summit pain management,6,3570,0.17,9.74,generic
sandia pain center,8,3460,0.23,7.67,clinic-name
precision pain management,4,3382,0.12,12.38,generic
eastern utah spine and pain,4,3374,0.12,5.29,city-state
"patrick oley, md",7,3265,0.21,11.35,city-state
puget sound pain clinic,11,3176,0.35,8.45,clinic-name
consultants in pain management,5,3123,0.16,9.69,city-state
ispine coon rapids,8,3075,0.26,7.28,generic
greenville pain and spine,39,3044,1.28,7.2,generic
red rock neurology,9,3044,0.3,8.39,generic
premier pain and spine,18,3042,0.59,11.25,generic
pain management consultants of southwest florida,44,2994,1.47,7.59,city-state
superior pain management,45,2924,1.54,6.32,generic
national spine and pain centers,6,2852,0.21,8.24,clinic-name
mid america pain clinic,229,2817,8.13,5.07,clinic-name
optimal pain and wellness,126,2652,4.75,5.89,clinic-name
waters edge yakima,17,2611,0.65,6.66,generic
integrated pain specialists,8,2571,0.31,11.18,clinic-name
texas pain clinic,60,2532,2.37,14.38,city-state
ohsu comprehensive pain center,4,2531,0.16,14.77,clinic-name
center for complex pain care,37,2523,1.47,4.1,clinic-name
premier pain and spine center,12,2486,0.48,9.1,clinic-name
pain care specialists of oregon,7,2478,0.28,9.28,city-state
dunes pain clinic,11,2442,0.45,5.97,clinic-name
chenal pain management,12,2371,0.51,6.67,generic
wenatchee pain relief,7,2326,0.3,5.09,generic
dr oliver james,131,2174,6.03,5.03,clinic-name
patrick oley md,6,2154,0.28,10.32,city-state
western state pain institute,15,2143,0.7,7.75,clinic-name
curis pain and wellness,4,2102,0.19,6.69,clinic-name
alliance pain management,6,2102,0.29,10.24,generic
grace point pain management,9,2098,0.43,9.26,generic
pain management group clarksville tn,11,2087,0.53,5.68,city-state
nj institute for pain relief,10,2069,0.48,7.13,city-state
pain clinics of central california,10,2048,0.49,7.4,city-state
center for pain,7,2008,0.35,9.83,clinic-name
the pain management group: clarksville,5,1977,0.25,5.38,clinic-name
dakota dunes pain clinic,13,1940,0.67,6.29,clinic-name
summit pain management marion indiana,14,1911,0.73,4.98,city-state
interventional pain consultants,5,1909,0.26,10.59,generic
mays and schnapp jackson tn,11,1899,0.58,7.08,city-state
pain and spine consultants,4,1870,0.21,13.05,generic
york pain center,7,1855,0.38,7.94,clinic-name
advanced spine and pain,4,1839,0.22,11.49,generic
st luke's pain clinic,13,1827,0.71,8.56,clinic-name
royal pain center,83,1815,4.57,4.49,clinic-name
atlas pain and spine,4,1783,0.22,8.11,generic
spa city pain management,6,1770,0.34,8.59,generic
presbyterian pain and spine,7,1756,0.4,12.65,generic
premier spine and pain institute,4,1712,0.23,9.39,clinic-name
pause pain and wellness,6,1706,0.35,9.51,clinic-name
total pain treatment centers of ct,21,1697,1.24,5.08,city-state
pain consultants of west florida,5,1680,0.3,8.32,city-state
oceanfront pain management,4,1645,0.24,8.66,generic
pain and wellness center,7,1606,0.44,13.6,clinic-name
verispine,4,1605,0.25,5.05,generic
st mary's physiatry,6,1598,0.38,6.58,generic
