Date,Page views,Page RPM (USD),Impressions,Clicks,CPC (USD),Page CTR,Estimated earnings (USD)
2026-02-06,1156,39.43,7840,79,0.58,0.0683,45.58
2026-02-05,1262,32.29,8540,73,0.56,0.0578,40.75
2026-02-04,1258,35.32,8330,77,0.58,0.0612,44.43
2026-02-03,1231,34.4,8430,65,0.65,0.0528,42.34
2026-02-02,1213,41.83,8466,83,0.61,0.0684,50.75
2026-02-01,363,41.95,2385,32,0.48,0.0882,15.23
2026-01-31,330,44.34,2250,39,0.38,0.1182,14.63
2026-01-30,828,41.8,5637,51,0.68,0.0616,34.61
2026-01-29,1024,41.07,7318,73,0.58,0.0713,42.05
2026-01-28,1117,38.76,7916,75,0.58,0.0671,43.29
2026-01-27,961,38.25,6718,50,0.74,0.052,36.76
2026-01-26,889,42.47,6321,54,0.7,0.0607,37.75
2026-01-25,309,30.11,2015,12,0.78,0.0388,9.31
2026-01-24,256,24.91,1584,18,0.35,0.0703,6.38
2026-01-23,685,29.66,4626,49,0.41,0.0715,20.32
2026-01-22,817,28.08,5539,47,0.49,0.0575,22.94
2026-01-21,956,33.14,6063,46,0.69,0.0481,31.68
2026-01-20,990,36.38,6750,73,0.49,0.0737,36.02
2026-01-19,877,39.05,5881,51,0.67,0.0582,34.25
2026-01-18,316,24.5,2014,17,0.46,0.0538,7.74
2026-01-17,307,29.07,2006,21,0.42,0.0684,8.92
2026-01-16,809,27.96,5198,39,0.58,0.0482,22.62
2026-01-15,868,21,5505,60,0.3,0.0691,18.23
2026-01-14,884,14.59,5608,41,0.31,0.0464,12.9
2026-01-13,809,19.65,4988,31,0.51,0.0383,15.9
2026-01-12,955,24.07,5579,60,0.38,0.0628,22.98
2026-01-11,265,27.01,1639,23,0.31,0.0868,7.16
2026-01-10,295,24.45,1665,20,0.36,0.0678,7.21
2026-01-09,605,34.19,3385,37,0.56,0.0612,20.69
2026-01-08,864,28.08,4443,42,0.58,0.0486,24.26
2026-01-07,1070,26.97,4561,28,1.03,0.0262,28.85
2026-01-06,1371,20.51,4967,53,0.53,0.0387,28.12
2026-01-05,1114,22.83,5059,50,0.51,0.0449,25.43
2026-01-04,290,20.35,990,18,0.33,0.0621,5.9
2026-01-03,323,11.15,741,11,0.33,0.0341,3.6
2026-01-02,742,21.89,2325,22,0.74,0.0296,16.25
2026-01-01,489,18,1501,17,0.52,0.0348,8.8
2025-12-31,1061,17.96,4337,38,0.5,0.0358,19.06
2025-12-30,1574,20.77,5981,50,0.65,0.0318,32.69
2025-12-29,1619,21.64,5310,52,0.67,0.0321,35.03
2025-12-28,1010,11.85,1529,12,1,0.0119,11.96
2025-12-27,1729,5.82,1263,13,0.77,0.0075,10.06
2025-12-26,584,44.86,2070,19,1.38,0.0325,26.2
2025-12-25,315,19.62,664,3,2.06,0.0095,6.18
2025-12-24,914,17.69,1804,23,0.7,0.0252,16.17
2025-12-23,2140,17.55,4430,42,0.89,0.0196,37.56
2025-12-22,1481,23.62,5225,39,0.9,0.0263,34.98
2025-12-21,301,15.53,1235,9,0.52,0.0299,4.67
2025-12-20,359,4.76,526,7,0.24,0.0195,1.71
