"Place ID",ID,Title,"Image URL","Image Filename","Image Path","Image ID","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured"
ChIJV-c22nYaiYgRPO0MWZTucG0,40382,"Alabama Pain Physicians - Birmingham",https://lombers.com/wp-content/uploads/2025/03/AF1QipNSOYzV5McGgBDn4PDjxwUfnSK2oztbwjaWYgi2s1024-1.jpeg,AF1QipNSOYzV5McGgBDn4PDjxwUfnSK2oztbwjaWYgi2s1024-1.jpeg,/home/1356334.cloudwaysapps.com/bnpsyahzyq/public_html/wp-content/uploads/2025/03/AF1QipNSOYzV5McGgBDn4PDjxwUfnSK2oztbwjaWYgi2s1024-1.jpeg,34948,"Alabama Pain Physicians - Birmingham",,"Alabama Pain Physicians - Birmingham Alabama Pain Physicians is proud to be Birmingham's choice for pain management. Our goal is to provide comprehensive","Pain management physician",https://lombers.com/wp-content/uploads/2025/03/AF1QipNSOYzV5McGgBDn4PDjxwUfnSK2oztbwjaWYgi2s1024-1.jpeg
ChIJpZDVILYbiYgRph8CYlYdtEQ,40387,"Nesbitt Pain Associates PC",https://lombers.com/wp-content/uploads/2025/03/AF1QipM72rN-2EJxv0yrz1QQTxTzRfr0UQqMCLZ68ncs1024-1.jpeg,AF1QipM72rN-2EJxv0yrz1QQTxTzRfr0UQqMCLZ68ncs1024-1.jpeg,/home/1356334.cloudwaysapps.com/bnpsyahzyq/public_html/wp-content/uploads/2025/03/AF1QipM72rN-2EJxv0yrz1QQTxTzRfr0UQqMCLZ68ncs1024-1.jpeg,34953,"Nesbitt Pain Associates PC",,"Nesbitt Pain Associates PC https://www.nesbittpain.com/ +1 205-723-0088 2700 10th Ave S bldg 2 ste 444","Pain management physician",https://lombers.com/wp-content/uploads/2025/03/AF1QipM72rN-2EJxv0yrz1QQTxTzRfr0UQqMCLZ68ncs1024-1.jpeg
ChIJQ_X0TVETYogRSOqdh8TbPNw,40391,"Tennessee Valley Pain Consultants - Huntsville Hospital Pain Center",https://lombers.com/wp-content/uploads/2025/03/AF1QipOkrTwtCUa1ic1cNXBybcUAcQQAX98eIFhOq5rns1024.jpeg,AF1QipOkrTwtCUa1ic1cNXBybcUAcQQAX98eIFhOq5rns1024.jpeg,/home/1356334.cloudwaysapps.com/bnpsyahzyq/public_html/wp-content/uploads/2025/03/AF1QipOkrTwtCUa1ic1cNXBybcUAcQQAX98eIFhOq5rns1024.jpeg,34894,"Tennessee Valley Pain Consultants - Huntsville Hospital Pain Center",,"medication management","Pain control clinic",https://lombers.com/wp-content/uploads/2025/03/AF1QipOkrTwtCUa1ic1cNXBybcUAcQQAX98eIFhOq5rns1024.jpeg
ChIJxb4BdsYTYogRbMGwKHOVskY,40395,"Living Healthy MD",https://lombers.com/wp-content/uploads/2025/03/AF1QipPTipesOz7wyB9Wr00SaFFv6ZB5OOMnMniICJdes1024-1.jpeg,AF1QipPTipesOz7wyB9Wr00SaFFv6ZB5OOMnMniICJdes1024-1.jpeg,/home/1356334.cloudwaysapps.com/bnpsyahzyq/public_html/wp-content/uploads/2025/03/AF1QipPTipesOz7wyB9Wr00SaFFv6ZB5OOMnMniICJdes1024-1.jpeg,34961,"Living Healthy MD",,"Living Healthy MD Dr. John Roberts has practiced in Huntsville for over 20 years and has decided to open a new and different type of clinic. While he will still be practicing Pain Management","Medical office",https://lombers.com/wp-content/uploads/2025/03/AF1QipPTipesOz7wyB9Wr00SaFFv6ZB5OOMnMniICJdes1024-1.jpeg
ChIJ2-lyB2cZiYgR65nh1ybtO4k,40399,"Comprehensive Pain Center",https://lombers.com/wp-content/uploads/2025/03/AF1QipOQ9tdeBIe8s3ACWF7y4J-Qjtr72crjMAtuIEUUs1024-1.jpeg,AF1QipOQ9tdeBIe8s3ACWF7y4J-Qjtr72crjMAtuIEUUs1024-1.jpeg,/home/1356334.cloudwaysapps.com/bnpsyahzyq/public_html/wp-content/uploads/2025/03/AF1QipOQ9tdeBIe8s3ACWF7y4J-Qjtr72crjMAtuIEUUs1024-1.jpeg,34965,"Comprehensive Pain Center",,"Comprehensive Pain Center Offering comprehensive pain management in Birmingham and the surrounding areas whether you need an epidural steroid injection or physical therapy. http://www.cpcbirmingham.com/ +1 205-878-4368 2700 US-280 SUITE 212","Pain management physician",https://lombers.com/wp-content/uploads/2025/03/AF1QipOQ9tdeBIe8s3ACWF7y4J-Qjtr72crjMAtuIEUUs1024-1.jpeg
ChIJ4UzY8NvdiIgRyYSWDZWeyhg,40404,"Alabama Pain Physicians - Bessemer",https://lombers.com/wp-content/uploads/2025/03/AF1QipOFgUCDaJmNoCZbjD5YmryKHl5NMdxjSKteK1YMs1024-1.jpeg,AF1QipOFgUCDaJmNoCZbjD5YmryKHl5NMdxjSKteK1YMs1024-1.jpeg,/home/1356334.cloudwaysapps.com/bnpsyahzyq/public_html/wp-content/uploads/2025/03/AF1QipOFgUCDaJmNoCZbjD5YmryKHl5NMdxjSKteK1YMs1024-1.jpeg,34970,"Alabama Pain Physicians - Bessemer",,"Alabama Pain Physicians - Bessemer Alabama Pain Physicians is proud to be Bessemer's choice for pain management. Our goal is to provide comprehensive","Pain control clinic",https://lombers.com/wp-content/uploads/2025/03/AF1QipOFgUCDaJmNoCZbjD5YmryKHl5NMdxjSKteK1YMs1024-1.jpeg
ChIJ_yIOHXplYogR0qP4XLwvo9E,40410,"Madison Medical Associates",https://lombers.com/wp-content/uploads/2025/03/AF1QipMO8ixZTp9PfX-oBA3vViEvOXksfszXfQCc6H1ps1024-1.jpeg,AF1QipMO8ixZTp9PfX-oBA3vViEvOXksfszXfQCc6H1ps1024-1.jpeg,/home/1356334.cloudwaysapps.com/bnpsyahzyq/public_html/wp-content/uploads/2025/03/AF1QipMO8ixZTp9PfX-oBA3vViEvOXksfszXfQCc6H1ps1024-1.jpeg,34976,"Madison Medical Associates",,"Madison Medical Associates http://www.madisonmedicalassociates.com/ +1 256-325-1160 3809 Sullivan St #4","Pain control clinic",https://lombers.com/wp-content/uploads/2025/03/AF1QipMO8ixZTp9PfX-oBA3vViEvOXksfszXfQCc6H1ps1024-1.jpeg
ChIJi2hZpXAWiYgRlN9GLpTQgP4,40413,"Southern Pain Specialists",https://lombers.com/wp-content/uploads/2025/03/AF1QipPpDDJUiV0o2rwjR47EgJYyk5WPONWZtQWO6cZFs1024-1.jpeg,AF1QipPpDDJUiV0o2rwjR47EgJYyk5WPONWZtQWO6cZFs1024-1.jpeg,/home/1356334.cloudwaysapps.com/bnpsyahzyq/public_html/wp-content/uploads/2025/03/AF1QipPpDDJUiV0o2rwjR47EgJYyk5WPONWZtQWO6cZFs1024-1.jpeg,34979,"Southern Pain Specialists",,"Southern Pain Specialists Interventional pain management physician with an in-office procedure suite and state of the art imaging. Over 25 years experience diagnosing and treating pain. We also offer ketamine therapy","Medical Center",https://lombers.com/wp-content/uploads/2025/03/AF1QipPpDDJUiV0o2rwjR47EgJYyk5WPONWZtQWO6cZFs1024-1.jpeg
ChIJP8-KVgoiiYgRmaY-fVU4bXs,40417,"Cahaba Pain and Spine Care",https://lombers.com/wp-content/uploads/2025/03/AF1QipOOfR3hP6nLLAmB_N_B8JMsXC7Tkvx_HJXdqIngs1024-1.jpeg,AF1QipOOfR3hP6nLLAmB_N_B8JMsXC7Tkvx_HJXdqIngs1024-1.jpeg,/home/1356334.cloudwaysapps.com/bnpsyahzyq/public_html/wp-content/uploads/2025/03/AF1QipOOfR3hP6nLLAmB_N_B8JMsXC7Tkvx_HJXdqIngs1024-1.jpeg,34983,"Cahaba Pain and Spine Care",,"Cahaba Pain and Spine Care Pain management experts offering in-office procedures and medication management. Our board-certified physicans can perform your pain blocks in our office saving you time and money compared to having the same procedure done in a hospital or ambulatory surgery center. Our physicians are board certified in anesthesiology and pain medicine","Pain management physician",https://lombers.com/wp-content/uploads/2025/03/AF1QipOOfR3hP6nLLAmB_N_B8JMsXC7Tkvx_HJXdqIngs1024-1.jpeg
ChIJF3EPbB9omogReYmMFd14htc,40421,"Restoration Health | Spanish Fort, AL",https://lombers.com/wp-content/uploads/2025/03/AF1QipOOXRO-qXdsOcvkhSTJIgHoXIxE89l5_pjvdwUCs1024-1.jpeg,AF1QipOOXRO-qXdsOcvkhSTJIgHoXIxE89l5_pjvdwUCs1024-1.jpeg,/home/1356334.cloudwaysapps.com/bnpsyahzyq/public_html/wp-content/uploads/2025/03/AF1QipOOXRO-qXdsOcvkhSTJIgHoXIxE89l5_pjvdwUCs1024-1.jpeg,37815,AF1QipOOXRO-qXdsOcvkhSTJIgHoXIxE89l5_pjvdwUCs1024-1.jpeg,,,,https://lombers.com/wp-content/uploads/2025/03/AF1QipOOXRO-qXdsOcvkhSTJIgHoXIxE89l5_pjvdwUCs1024-1.jpeg
