id,title,city,state,phone,place_id
d3m2nwrec9ixnnjj7ne66xpi,Alabama Neurology,Alabaster,Alabama,+1 205-621-4799,ChIJna6J7tEliYgRH0tBEJmQmhA
l687o0zqecr1647ezy5gtn9j,"Eric Robinson, MD",Auburn,Alabama,+1 334-501-2005,ChIJAdu048jyjIgRLPX3rtAv7n4
ma4k55j87b1gi6fpv7j6gkz9,"Rachel Roberts, MD",Birmingham,Alabama,+1 205-723-0088,ChIJbzMKI0IbiYgR1CogMJFzzs0
ya48c3o4qnfgah6xlzpt5jfa,Pain Management Services,Birmingham,Alabama,+1 205-802-6565,ChIJibqwzZgZiYgRHa9aFXXW67c
bbxojg6jfcziszzreixoph4g,"Dr. Robert L. Lansden, MD",Birmingham,Alabama,+1 205-802-6565,ChIJibqwzZgZiYgRAGV74_FgzGM
mrfvjophrbmz1bt0so8wyhyk,UAB Pain Management Center,Birmingham,Alabama,+1 205-801-8250,ChIJ-9JzXMAbiYgRL50SmwQ9BdU
xmwy44sokz4nw10mksw4nas1,North Alabama Pain Center,Cullman,Alabama,+1 256-737-2235,ChIJtbwEYzXJiYgRp9TgSn5U8KI
t6eea5865xr8imo1ry6q5tbe,North Alabama Rehabilitation and Pain Specialist LLC,Decatur,Alabama,+1 256-353-0410,ChIJZWRU1gmEYogR80yNArF4S3g
zfukoc6wf1zawtfiy07871r5,"Jerry Marsella, MD",Dothan,Alabama,+1 334-944-7073,ChIJt5fCW6uNkogRy8mUzFEYsEk
t0zdvrn76yz49kbm6gkuut81,Lighthouse Pain Clinic,Hoover,Alabama,,ChIJs3gwFasjiYgRWDEOVOV7lpo
pzfgb5of202rrclyw8dz3z5o,Pain Management,Hoover,Alabama,+1 205-682-6056,ChIJBdjnqugiiYgRq9Ga9_Uh9Ro
ccxap595iqgo0bu7ifs9n0pb,James Thacker,Huntsville,Alabama,+1 256-885-1605,
grng6h56cx18uz8u5c114tv9,James Thacker,Huntsville,Alabama,+1 256-885-1605,ChIJ5ZedES4TYogR_FpoAJspCY4
gwfv5hta3pw41yfhp46jgm2k,Alabama Pain Clinic,Huntsville,Alabama,+1 256-265-6532,ChIJb5FfXKtsYogRHQTh3ei8Tl8
l3s6kgvjat48s66gz7rtijp4,Alabama Injury & Pain Clinic,Mobile,Alabama,+1 251-476-7246,ChIJrX2KkvFRmogRNtX-DdPm84A
myh782gbw4od8xrtucoohgep,The Center for Pain,Montgomery,Alabama,+1 334-288-7808,ChIJN8Ff1OKBjogREkPsD8om86g
yuy4virppf7vlhqxci3dojk2,Central Alabama Pain Management Center,Montgomery,Alabama,+1 334-264-3302,ChIJB9InP7uBjogRx7pqrBfPMH4
c01ih7407daeshhn9qbsyhh0,Southern Pain Control Center,Montgomery,Alabama,+1 334-396-6055,ChIJUxEHyAgsjIgRzN6eW-SPFyU
xot7i4kya0rn4yq0eliustxk,Complete Pain Care,Moody,Alabama,+1 205-640-0001,ChIJQZDgFhByiYgRqBr5MWZB7LQ
jg6q3mwwy95ydh8c3enony5n,Mangieri Eugene A MD,Northport,Alabama,+1 205-339-9000,ChIJTeXkCNIChogRBtVBRKqWRKI
fymw3kpcac7ecke8c5fmo84h,Pain Management Physicians,Opelika,Alabama,,ChIJf1yWftGSjIgRPlit4eUKoxE
f3t1ns25u00rtih9egizk5nd,Dr. Gaylyn Horne - Ballard M.D.,Pell City,Alabama,+1 205-405-7348,ChIJ3bzsLQZ9iYgRI54IcIZz3g8
k0llvanqt48ji92b7mqcp6kr,Aaron Shinkle,Prattville,Alabama,+1 334-288-2808,ChIJD5fqsPiPjogRcRe1PWa699Q
dabkiuyac0k19ejbz80pcwbm,Eastern Interventional Pain,Trussville,Alabama,+1 205-661-3627,ChIJqZPxEeMMiYgR7Jmgb75y0JQ
vrtow4pkvzjnc35s07q7fzvk,Frenette Luc MD,Trussville,Alabama,+1 205-508-5300,ChIJHYZXe3keiYgRVdkmcX6aekc
