website,emails,twitter,facebook,youtube,instagram,github,snapchat,tiktok
https://auburnpainspecialists.com/,[],,https://www.facebook.com/auburn-pain-specialists-291711776733,,,,,https://www.tiktok.com/@auburn.pain
https://auburnpainspecialists.com/
https://bamapain.com/
http://www.cahabapain.com/
https://tnvalleypain.com/our-physicians/ronald-collins-md/
http://alpainrehab.com/
http://www.center4pain.com/
http://www.center4pain.com/
http://www.center4pain.com/
http://www.center4pain.com/
http://www.center4pain.com/
http://www.aaapcmd.com/
http://www.center4pain.com/
http://www.aaapcmd.com/
https://www.algoneanchorage.com/
https://tnvalleypain.com/our-physicians/ronald-collins-md/,[],https://twitter.com/tnvalleytalks,https://www.facebook.com/TennesseeValleyPainConsultants,,https://www.instagram.com/valleypainspecialists,,,
https://center4pain.com/dr-ryan-almeida/,"[""mandi.cox@center4pain.com"",""info@clearwaypain.com""]",https://twitter.com/center4pain,https://www.facebook.com/Center4Pain,,,,,
https://www.legacypainandspine.com/staff,[],,https://www.facebook.com/LegacyPainandSpine,,,,,https://www.tiktok.com/@painandspinephysicianstx
https://clearwaypain.com/locations/andalusia/,"[""info@clearwaypain.com"",""npc@clearwaypain.com"",""contactus@relievus.com"",""relievusreferrals@relievus.com"",""patientrecordsrequest@relievus.com"",""status@healthmark-group.com"",""attorneyrecordsrequest@relievus.com""]",https://twitter.com/clearwaypain,https://www.facebook.com/clearwaypain,https://www.youtube.com/channel/UCnTSiEr8SPycoDdUMfGvzYQ,https://www.instagram.com/clearway_pain_solutions,,,
http://alpainrehab.com/,[],,https://www.facebook.com/AlphaMedicineRehab,,https://www.instagram.com/alpinerehab,,,
https://www.maddoxpainmanagement.com/,"[""help@maddoxpainmanagement.com"",""237-7002help@maddoxpainmanagement.com1309""]",,https://www.facebook.com/MaddoxPainManagement,,https://www.instagram.com/painmanagementnyc,,,
https://bamapain.com/,"[""privacyofficer@cypresshc.com""]",,https://www.facebook.com/BamaPain,,https://www.instagram.com/bama_pain,,,https://www.tiktok.com/@bama_sports1
http://clearwaypain.com/,"[""info@clearwaypain.com"",""npc@clearwaypain.com"",""contactus@relievus.com"",""relievusreferrals@relievus.com"",""patientrecordsrequest@relievus.com"",""status@healthmark-group.com"",""attorneyrecordsrequest@relievus.com""]",https://twitter.com/clearwaypain,https://www.facebook.com/clearwaypain,https://www.youtube.com/channel/UCnTSiEr8SPycoDdUMfGvzYQ,https://www.instagram.com/clearway_pain_solutions,,,
http://www.aaapcmd.com/directory/,[],,https://www.facebook.com/AAAPain,,,,,
https://athenslimestonehospital.com/physician-clinics/athens-limestone-pain-center,"[""helpdeskticket@alhnet.org"",""complaint@jcaho.org"",""felicial@alhnet.org"",""wecarealh@alhnet.org"",""webpage@alhnet.org"",""tannercommunitycare@alhnet.org"",""wcfamilymedicine@alhnet.org"",""volunteers@alhnet.org"",""valleywomenscenter@alhnet.org"",""felicia.lambert@alhnet.org"",""totsandteens@alhnet.org"",""wlcommunitycare@alhnet.org"",""capshawfamilycare@alhnet.org"",""valleyinternalmed@alhnet.org"",""medwestclinic@alhnet.org"",""daisynomination@alhnet.org"",""familycare@alhnet.org"",""athenscommunitycare@alhnet.org"",""eastsidefamilymed@alhnet.org"",""alpaincenter@alhnet.org"",""webmaster@hhsys.org"",""alhclinics@mymedaccess.com"",""limestonepulmonologyassociates@alhnet.org"",""kourtney.ennis@alhnet.org"",""limestonemedicalassociates@alhnet.org"",""limestoneinternalmed@alhnet.org"",""alnephrologyassociates@alhnet.org"",""dianew@alhnet.org"",""rogersvillefamilycare@alhnet.org""]",https://twitter.com/hospitalathens,https://www.facebook.com/ALHDevelopment,,https://www.instagram.com/athenslimestonehospital,,,
http://www.cahabapain.com/,[],https://twitter.com/suremedcomp,https://www.facebook.com/cahabapain,,https://www.instagram.com/cahabapain,,,
https://www.nesbittpain.com/,[],https://twitter.com/veritasmre,https://www.facebook.com/NesbittPainAssociates,,https://www.instagram.com/nesbittpain,,,
https://www.southsidepainspecialists.com/?utm_source=GMBlisting&utm_medium=organic,"[""llewis@southsidepain.com"",""mlowery@southsidepain.com""]",https://twitter.com/paindocs4you,https://www.facebook.com/SouthsidePainSpecialists,,,,,https://www.tiktok.com/@painspecialistsofamerica
http://www.southernpain.com/,"[""info@southernpain.com"",""example@example.com""]",https://twitter.com/southernpainsoc,https://www.facebook.com/southernpainandspine,,https://www.instagram.com/southernpainandneurological,,,https://www.tiktok.com/@southernpainandspine
https://birminghampain.com/,"[""lgibson@birminghampain.com"",""sprcare@sprintpns.com""]",https://twitter.com/yatesosteopathy,https://www.facebook.com/p/The-Birmingham-Pain-Center-100076211683333,,https://www.instagram.com/bama_pain,,,
http://www.orthosportsassociates.com/,"[""bsweatt@orthosportsmail.com"",""pr@palmharborortho.com""]",https://twitter.com/ortho_sports,https://www.facebook.com/OrthosportsAssociates,,https://www.instagram.com/orthosportsassociates,,,https://www.tiktok.com/@orthopedicspecialists
https://www.legacypainandspine.com/,[],,https://www.facebook.com/LegacyPainandSpine,,,,,https://www.tiktok.com/@painandspinephysicianstx
https://www.orthoalabama.com/doctors/srinivas-mallempati-md?utm_source=google&utm_medium=organic&utm_campaign=gmbwebsite,"[""orthoalabamaspineandsports@gmail.com""]",https://twitter.com/orthoalabama,https://www.facebook.com/OrthoAlabamaSpineSports,,https://www.instagram.com/orthoalabamaspinesports,,,https://www.tiktok.com/@adventureorthopod
http://birminghampain.com/,"[""lgibson@birminghampain.com"",""sprcare@sprintpns.com""]",https://twitter.com/Birmingham_Live,https://www.facebook.com/p/The-Birmingham-Pain-Center-100076211683333,,https://www.instagram.com/bama_pain,,,
https://www.southernpain.com/,"[""info@southernpain.com"",""example@example.com""]",https://twitter.com/southernpainsoc,https://www.facebook.com/southernpainandspine,,https://www.instagram.com/southernpainandneurological,,,https://www.tiktok.com/@southernpainandspine
https://www.vulcanpainmanagement.com/,[],,https://www.facebook.com/VulcanPainManagementAndRecovery,,,,,https://www.tiktok.com/@vulcanraven23
http://www.alpainclinics.com/,"[""tammi@alpainclinics.com""]",https://twitter.com/ALPreferred,,,,,,
http://www.cpcbirmingham.com/,[],https://twitter.com/edrttbham,https://www.facebook.com/cpcbirmingham,,https://www.instagram.com/cpcbirmingham,,,https://www.tiktok.com/@actiontraining
http://www.southernwellnessmed.com/,[],,https://www.facebook.com/southernwellnessllc,,https://www.instagram.com/southernstyle_wellness,,,https://www.tiktok.com/@southernwellness
https://www.southsidepainspecialists.com/,"[""llewis@southsidepain.com"",""mlowery@southsidepain.com""]",https://twitter.com/paindocs4you,https://www.facebook.com/SouthsidePainSpecialists,,,,,https://www.tiktok.com/@painandspinephysicianstx
http://www.integrative-pain.com/,[],https://twitter.com/integrativempc,https://www.facebook.com/aabppain,https://www.youtube.com/channel/UCfUlLfxf-qOfiKcqlQmi-tQ,https://www.instagram.com/integratedpainmanagementllc,https://github.com/LINIP-share,,
https://valleypainclinic.net/,"[""info@valleypainclinic.net""]",,https://www.facebook.com/valleypainclinicDecatur,,https://www.instagram.com/valleypainclinic,,,
https://www.baldwinboneandjoint.com/?utm_source=GMBSocialClimb&utm_medium=ElliottPennington%2CMD,"[""hwright@baldwinboneandjoint.com"",""rhartman@baldwinboneandjoint.com"",""jrichardson@baldwinboneandjoint.com"",""medrecords@baldwinboneandjoint.com"",""shelby@rapahope.org"",""advertising@gulfcoastmedia.com""]",https://twitter.com/baldwinbone,https://www.facebook.com/baldwinboneandjointpc,https://www.youtube.com/channel/UCAzMJ3o9tUYWqqX5k0iJR0w,https://www.instagram.com/baldwinboneandjoint,,,
https://cullman.drrickytubbs.com/?page_id=58,"[""jstewart@gardendalepain.com""]",,https://www.facebook.com/CullmanInternalMedicine,,,,,
https://valleypainclinic.net/ahmad-shikhtholth-md/,"[""info@valleypainclinic.net""]",,https://www.facebook.com/valleypainclinicDecatur,,https://www.instagram.com/valleypainclinic,,,
https://center4pain.com/,"[""mandi.cox@center4pain.com"",""info@clearwaypain.com""]",https://twitter.com/center4pain,https://www.facebook.com/Center4Pain,,,,,
https://dynamicpainandwellness.com/,"[""referrals@dynamicpainandwellness.com""]",https://twitter.com/dynamicpaindr,https://www.facebook.com/DynamicWellnessChiro,,,,,https://www.tiktok.com/@painandspinephysicianstx
https://www.southeasthealth.org/pain-management,"[""medicineshop@southeasthealth.org"",""medstaffsvcs@southeasthealth.org"",""specialtypharmacy@southeasthealth.org"",""sehinmed@southeasthealth.org"",""marketing@southeasthealth.org"",""mycharthelpdesk@southeasthealth.org"",""albryan@southeasthealth.org"",""sbpurvis@southeasthealth.org"",""nobody@southeasthealth.org"",""elgrimes@southeasthealth.org"",""physicianrecruitmentstaff@southeasthealth.org"",""sehfoundation@southeasthealth.org"",""sehealthfoundation@southeasthealth.org"",""hospitalcomplaint@dnv.com""]",https://twitter.com/SEHealthMedia,https://www.facebook.com/SoutheastHealthDothan,https://www.youtube.com/user/semohospital,https://www.instagram.com/southeast_health,,,
https://www.flowersmedicalgroup.com/our-locations/dothan-neurospinepain-1975?utm_source=gmb&utm_medium=homepage&utm_campaign=biz-listings,[],https://twitter.com/ConcordPharmacy,https://www.facebook.com/FlowersHospital,https://www.youtube.com/channel/UCBt0wN4l5BIOzXWrNBzL36g,https://www.instagram.com/flowersmedicalgroup,,,
https://www.comprehensivepain.org/,[],https://twitter.com/southernpainsoc,https://www.facebook.com/completepainandspine,,https://www.instagram.com/comprehensive_pain_specialist,,,
https://www.treatingpain.com/find-a-doctor/matthew-q-barfield-do/,"[""team@treatingpain.com"",""sjadoo@treatingpain.com"",""compliance@treatingpain.com"",""slevine@treatingpain.com"",""jmangarelli@treatingpain.com"",""lectures@treatingpain.com"",""ddavis@treatingpain.com"",""kdillinger@treatingpain.com"",""rsvp@talloaksal.com"",""status@healthmark-group.com"",""rosenthal.davida@gmail.com"",""asipp@asipp.org"",""rrogers@nopaindr.com"",""slparker7@gmail.com"",""brsubach@gmail.com""]",https://twitter.com/treatingpain,https://www.facebook.com/TreatingPain,,https://www.instagram.com/dr.dan_spinedoc,https://github.com/heal-data-stewards,,
http://www.alabamaspineandpain.com/,[],,https://www.facebook.com/alabamaspineandpain,,https://www.instagram.com/bama_pain,,,
http://www.easternshorepainmanagement.com/,[],,https://www.facebook.com/espainmanagement,,https://www.instagram.com/painmanagementnyc,,,https://www.tiktok.com/@easternshorerep
http://www.unitedspinepain.com/,[],,https://www.facebook.com/UnitedSpinePain,https://www.youtube.com/user/UnitedSpinalTV,https://www.instagram.com/unitedspinepain,,,https://www.tiktok.com/@floridaspinepain
https://www.reliefspineandpaincenter.com/,"[""contact@reliefspineandpaincenter.com""]",,https://www.facebook.com/reliefspineandpain,,https://www.instagram.com/reliefspineandpaincenter,,,
http://dr-odeane-h-connor-md.jany.io/,[],,,,,,,
http://drrickytubbs.com/,"[""jstewart@gardendalepain.com"",""stuartsalias@msn.com"",""osenildo@gmail.com"",""drtubbzz@gardendalepain.com""]",,https://www.facebook.com/derrick.tubbs.73,,https://www.instagram.com/gardendalepain,,,
https://www.mmcenters.com/?utm_source=gmb&utm_medium=organic,"[""shirley.holland@mmcenters.com"",""rose.myers@mmcenters.com"",""claudette.demuth@mmcenters.com"",""vanessa.williams@mmcenters.com"",""sleepacademy@mmcenters.com"",""peggy.hudson@mmcenters.com"",""patientportal@mmcenters.com"",""info@mmcenters.com"",""kaye.dean@mmcenters.com"",""sue.lorenz@mmcenters.com"",""hollie.powell@mmcenters.com"",""julie.yarbrough@mmcenters.com"",""healthyher@mmcenters.com"",""kami.mitchell@mmcenters.com"",""daisy.awards@mmcenters.com"",""jessica.mcclendon@mmcenters.com"",""andrea.oliver@mmcenters.com"",""noreply@patients.pgsurveying.com"",""peggy.hudson@mmceneters.com"",""myers@mmcenters.com"",""status@healthmark-group.com""]",https://twitter.com/mm_centers,https://www.facebook.com/mmcenters,,https://www.instagram.com/marshallmedicalcenters,,,https://www.tiktok.com/@mmcenters
https://www.thedoleysclinichoover.com/,[],,https://www.facebook.com/DoleysClinic,,,,,
http://www.tnvalleypain.com/,[],https://twitter.com/tnvalleytalks,https://www.facebook.com/TennesseeValleyPainConsultants,,https://www.instagram.com/valleypainspecialists,,,
https://livinghealthymd.com/,[],https://twitter.com/livingwhealth,https://www.facebook.com/LivingHealthyMDHuntsville,https://www.youtube.com/c/LiveHealthyMD,https://www.instagram.com/living.healthy.md,,,
https://www.advancedmedclinics.com/,"[""contact@advancedmedclinics.com""]",https://twitter.com/_advancemedical,https://www.facebook.com/AdvancedMedicalClinics,,https://www.instagram.com/advancemedclinics,,,https://www.tiktok.com/@advancedclinicals
http://www.visittoc.com/,"[""janet.page@visittoc.com"",""martha.dunham@visittoc.com"",""jeff.keith@visittoc.com"",""heather.thomas@visittoc.com"",""wcdept@visittoc.com"",""toctherapywc@visittoc.com"",""sumadanagopal@gmail.com"",""verrallg@bigpond.com"",""easte004@mc.duke.edu"",""paul.hecht@hitchcock.org"",""opinfinity@gmail.com""]",https://twitter.com/TocCenter,https://www.facebook.com/VisitTOC,,,,,
https://tnvalleypain.com/our-physicians/roddie-gantt-md/,[],https://twitter.com/tnvalleytalks,https://www.facebook.com/TennesseeValleyPainConsultants,,https://www.instagram.com/valleypainspecialists,,,
